filtro,texto,métrica,rho,p
Camaradería Masculina Rancia,descripción del perfil,promedio,-0.007,0.9414
Camaradería Masculina Rancia,descripción del perfil,percentil 90,0.006,0.9529
Camaradería Masculina Rancia,descripción del perfil,fracción sobre p95,-0.035,0.7285
Camaradería Masculina Rancia,sonda 1: sexist humor where women are only objects or jokes,promedio,0.011,0.9158
Camaradería Masculina Rancia,sonda 1: sexist humor where women are only objects or jokes,percentil 90,0.035,0.7296
Camaradería Masculina Rancia,sonda 1: sexist humor where women are only objects or jokes,fracción sobre p95,-0.026,0.7943
Camaradería Masculina Rancia,sonda 2: the women are just props for the men and their friendship,promedio,-0.019,0.8501
Camaradería Masculina Rancia,sonda 2: the women are just props for the men and their friendship,percentil 90,-0.013,0.8957
Camaradería Masculina Rancia,sonda 2: the women are just props for the men and their friendship,fracción sobre p95,-0.012,0.9028
Camaradería Masculina Rancia,"sonda 3: humor machista y sexista, las mujeres son un chiste",promedio,0.053,0.5977
Camaradería Masculina Rancia,"sonda 3: humor machista y sexista, las mujeres son un chiste",percentil 90,0.082,0.4152
Camaradería Masculina Rancia,"sonda 3: humor machista y sexista, las mujeres son un chiste",fracción sobre p95,0.009,0.9322
Camaradería Masculina Rancia,sondas combinadas,fracción sobre p95,0.003,0.9765
Insoportabilidad Prolongada,descripción del perfil,promedio,0.345,0.0004
Insoportabilidad Prolongada,descripción del perfil,percentil 90,0.391,0.0001
Insoportabilidad Prolongada,descripción del perfil,fracción sobre p95,0.379,0.0001
Insoportabilidad Prolongada,"sonda 1: the main character is insufferable, arrogant and smug",promedio,0.365,0.0002
Insoportabilidad Prolongada,"sonda 1: the main character is insufferable, arrogant and smug",percentil 90,0.428,0.0
Insoportabilidad Prolongada,"sonda 1: the main character is insufferable, arrogant and smug",fracción sobre p95,0.433,0.0
Insoportabilidad Prolongada,"sonda 2: I couldn't stand the protagonist, he is a pretentious narcissist and a creep",promedio,0.467,0.0
Insoportabilidad Prolongada,"sonda 2: I couldn't stand the protagonist, he is a pretentious narcissist and a creep",percentil 90,0.525,0.0
Insoportabilidad Prolongada,"sonda 2: I couldn't stand the protagonist, he is a pretentious narcissist and a creep",fracción sobre p95,0.526,0.0
Insoportabilidad Prolongada,"sonda 3: an unlikable, annoying character you have to spend the whole movie with",promedio,0.387,0.0001
Insoportabilidad Prolongada,"sonda 3: an unlikable, annoying character you have to spend the whole movie with",percentil 90,0.492,0.0
Insoportabilidad Prolongada,"sonda 3: an unlikable, annoying character you have to spend the whole movie with",fracción sobre p95,0.509,0.0
Insoportabilidad Prolongada,"sonda 4: un protagonista insoportable, arrogante y pedante",promedio,0.333,0.0007
Insoportabilidad Prolongada,"sonda 4: un protagonista insoportable, arrogante y pedante",percentil 90,0.388,0.0001
Insoportabilidad Prolongada,"sonda 4: un protagonista insoportable, arrogante y pedante",fracción sobre p95,0.416,0.0
Insoportabilidad Prolongada,sondas combinadas,fracción sobre p95,0.524,0.0
Control Emocional Artificial,descripción del perfil,promedio,-0.14,0.1614
Control Emocional Artificial,descripción del perfil,percentil 90,-0.04,0.6916
Control Emocional Artificial,descripción del perfil,fracción sobre p95,-0.059,0.558
Control Emocional Artificial,"sonda 1: emotionally manipulative, the music tells you exactly what to feel",promedio,-0.028,0.7797
Control Emocional Artificial,"sonda 1: emotionally manipulative, the music tells you exactly what to feel",percentil 90,0.019,0.8503
Control Emocional Artificial,"sonda 1: emotionally manipulative, the music tells you exactly what to feel",fracción sobre p95,0.073,0.4687
Control Emocional Artificial,"sonda 2: so sweet, whimsical and quirky that it becomes saccharine and twee",promedio,0.002,0.9844
Control Emocional Artificial,"sonda 2: so sweet, whimsical and quirky that it becomes saccharine and twee",percentil 90,0.022,0.8235
Control Emocional Artificial,"sonda 2: so sweet, whimsical and quirky that it becomes saccharine and twee",fracción sobre p95,0.057,0.5695
Control Emocional Artificial,"sonda 3: technically perfect but cold, calculated and polished",promedio,0.156,0.1183
Control Emocional Artificial,"sonda 3: technically perfect but cold, calculated and polished",percentil 90,0.297,0.0025
Control Emocional Artificial,"sonda 3: technically perfect but cold, calculated and polished",fracción sobre p95,0.334,0.0006
Control Emocional Artificial,sonda 4: Oscar bait designed to make you cry,promedio,0.366,0.0002
Control Emocional Artificial,sonda 4: Oscar bait designed to make you cry,percentil 90,0.395,0.0
Control Emocional Artificial,sonda 4: Oscar bait designed to make you cry,fracción sobre p95,0.384,0.0001
Control Emocional Artificial,sondas combinadas,fracción sobre p95,0.327,0.0008
Personajes Diorama,descripción del perfil,promedio,-0.065,0.5192
Personajes Diorama,descripción del perfil,percentil 90,-0.029,0.7721
Personajes Diorama,descripción del perfil,fracción sobre p95,0.028,0.7774
Personajes Diorama,sonda 1: beautiful and symmetrical but emotionally hollow,promedio,0.117,0.2453
Personajes Diorama,sonda 1: beautiful and symmetrical but emotionally hollow,percentil 90,0.115,0.2513
Personajes Diorama,sonda 1: beautiful and symmetrical but emotionally hollow,fracción sobre p95,0.142,0.158
Personajes Diorama,"sonda 2: style over substance, the characters feel like dolls in a dollhouse",promedio,0.251,0.0114
Personajes Diorama,"sonda 2: style over substance, the characters feel like dolls in a dollhouse",percentil 90,0.26,0.0087
Personajes Diorama,"sonda 2: style over substance, the characters feel like dolls in a dollhouse",fracción sobre p95,0.277,0.005
Personajes Diorama,sonda 3: the characters have no personality beyond their job or quirk,promedio,0.045,0.6557
Personajes Diorama,sonda 3: the characters have no personality beyond their job or quirk,percentil 90,0.055,0.5874
Personajes Diorama,sonda 3: the characters have no personality beyond their job or quirk,fracción sobre p95,0.042,0.6753
Personajes Diorama,sondas combinadas,fracción sobre p95,0.191,0.0561
Caos Asfixiante,descripción del perfil,promedio,0.29,0.0032
Caos Asfixiante,descripción del perfil,percentil 90,0.285,0.0038
Caos Asfixiante,descripción del perfil,fracción sobre p95,0.3,0.0023
Caos Asfixiante,"sonda 1: chaotic, frantic and exhausting, it never lets you breathe",promedio,0.143,0.1541
Caos Asfixiante,"sonda 1: chaotic, frantic and exhausting, it never lets you breathe",percentil 90,0.13,0.1943
Caos Asfixiante,"sonda 1: chaotic, frantic and exhausting, it never lets you breathe",fracción sobre p95,0.123,0.2189
Caos Asfixiante,"sonda 2: overstimulating, loud and relentless, too much happening at once",promedio,0.107,0.287
Caos Asfixiante,"sonda 2: overstimulating, loud and relentless, too much happening at once",percentil 90,0.131,0.1912
Caos Asfixiante,"sonda 2: overstimulating, loud and relentless, too much happening at once",fracción sobre p95,0.166,0.0979
Caos Asfixiante,"sonda 3: caótica y agotadora, no da respiro",promedio,0.139,0.1668
Caos Asfixiante,"sonda 3: caótica y agotadora, no da respiro",percentil 90,0.109,0.2796
Caos Asfixiante,"sonda 3: caótica y agotadora, no da respiro",fracción sobre p95,0.112,0.2659
Caos Asfixiante,sondas combinadas,fracción sobre p95,0.154,0.123
