representacion,dimensiones,MAE,R²,R² etapa 1 afinidades,R² etapa 1 filtros
"promedio, hasta 100 reseñas",384,0.6068145495697775,0.3379693723417553,0.35567411120883924,0.13465246642325862
"promedio, todas las reseñas",384,0.6075200308430596,0.31845199838152727,0.35975396301391227,0.14155271818009701
"promedio + percentiles de similitud, hasta 100 reseñas",432,0.6078395521888825,0.33113229967124613,0.3561476125327303,0.13570378464155536
"percentil 90 por dimensión, todas las reseñas",384,0.6088218950310946,0.3268230425039702,0.3718258219149411,0.1521969489330597
"promedio + percentiles de similitud, todas las reseñas",432,0.6104362639794998,0.31990692866627546,0.36776386653924054,0.13666865000508535
"percentil 75 por dimensión, todas las reseñas",384,0.6106520745349024,0.3224003561220121,0.35607904365345344,0.14272290827198736
"percentil 90 por dimensión, hasta 50 reseñas",384,0.6112778428924632,0.34074862659629623,0.36785188665980845,0.14710249512024937
"percentil 75 por dimensión, hasta 100 reseñas",384,0.6169402474235917,0.3240354121454009,0.35045702403874984,0.12985711225130808
"percentil 90 por dimensión, hasta 100 reseñas",384,0.6204552686566233,0.31559812725467906,0.3506947951166727,0.1275226836525639
"percentil 75 por dimensión, hasta 50 reseñas",384,0.6299677338477132,0.3156074642236806,0.3478280836666734,0.13288602817085388
"promedio + percentiles de similitud, hasta 50 reseñas",432,0.6327091909776666,0.30209480241420084,0.3510302290797726,0.1269517269001124
"promedio, hasta 50 reseñas",384,0.6332379124539864,0.3077926448685484,0.34764419518077333,0.1340666827122038
