,filtro · Camaradería Masculina Rancia,filtro · Insoportabilidad Prolongada,filtro · Control Emocional Artificial,filtro · Personajes Diorama,filtro · Caos Asfixiante,afinidad · Resistencia Femenina,afinidad · Contemplación Inmersiva,afinidad · Ternura y Empatía Radical,afinidad · Humanismo Social,afinidad · Vanguardia y Simbolismo,excepción · Camaradería Masculina Rancia,excepción · Insoportabilidad Prolongada
filtro · Camaradería Masculina Rancia,1.0,0.41,0.2858,0.311,0.3457,0.5492,0.2785,0.3105,0.4346,0.3686,0.5461,0.2672
filtro · Insoportabilidad Prolongada,0.41,1.0,0.3015,0.3018,0.533,0.4428,0.4459,0.4977,0.5284,0.483,0.4765,0.6488
filtro · Control Emocional Artificial,0.2858,0.3015,1.0,0.2556,0.471,0.2745,0.5025,0.4034,0.3257,0.3069,0.2926,0.3099
filtro · Personajes Diorama,0.311,0.3018,0.2556,1.0,0.3085,0.2462,0.3774,0.1887,0.292,0.5319,0.3458,0.27
filtro · Caos Asfixiante,0.3457,0.533,0.471,0.3085,1.0,0.2723,0.6835,0.3479,0.3462,0.4943,0.2583,0.5173
afinidad · Resistencia Femenina,0.5492,0.4428,0.2745,0.2462,0.2723,1.0,0.3902,0.5314,0.4987,0.3752,0.5018,0.3033
afinidad · Contemplación Inmersiva,0.2785,0.4459,0.5025,0.3774,0.6835,0.3902,1.0,0.5183,0.4238,0.545,0.3575,0.5698
afinidad · Ternura y Empatía Radical,0.3105,0.4977,0.4034,0.1887,0.3479,0.5314,0.5183,1.0,0.6418,0.3805,0.3958,0.4687
afinidad · Humanismo Social,0.4346,0.5284,0.3257,0.292,0.3462,0.4987,0.4238,0.6418,1.0,0.4791,0.4059,0.457
afinidad · Vanguardia y Simbolismo,0.3686,0.483,0.3069,0.5319,0.4943,0.3752,0.545,0.3805,0.4791,1.0,0.5079,0.505
excepción · Camaradería Masculina Rancia,0.5461,0.4765,0.2926,0.3458,0.2583,0.5018,0.3575,0.3958,0.4059,0.5079,1.0,0.5298
excepción · Insoportabilidad Prolongada,0.2672,0.6488,0.3099,0.27,0.5173,0.3033,0.5698,0.4687,0.457,0.505,0.5298,1.0
