representacion,dimensiones,MAE,R²,R² etapa 1 afinidades,R² etapa 1 filtros
"percentil 90 por dimensión, todas las reseñas",768,0.5849675370957269,0.3906736089331212,0.452266895076065,0.19608367595716342
"percentil 90 por dimensión, hasta 100 reseñas",768,0.5868116367743007,0.3893640035417565,0.45347543674675783,0.19325304260140205
"percentil 90 por dimensión, hasta 50 reseñas",768,0.5925620196815121,0.38364875869195136,0.4381836549780527,0.1875860819399211
"promedio + percentiles de similitud, todas las reseñas",816,0.5989996692037802,0.3916319150535176,0.4452706841491866,0.20214666739610418
"promedio + percentiles de similitud, hasta 100 reseñas",816,0.6001188703844144,0.3928333441556743,0.4448421542973556,0.1992431644646849
"promedio, todas las reseñas",768,0.6013280296995382,0.3884663393889344,0.4435596187445444,0.20483774203118835
"promedio, hasta 100 reseñas",768,0.6018672705189656,0.3896038554925384,0.44422862792310963,0.20319996268841498
"promedio + percentiles de similitud, hasta 50 reseñas",816,0.6067613112483963,0.3877197579882933,0.4289192735510244,0.18882719131617096
"percentil 75 por dimensión, todas las reseñas",768,0.6069189195720007,0.3717905016043366,0.438233871712357,0.19555505034806325
"percentil 75 por dimensión, hasta 100 reseñas",768,0.6089672619987248,0.3712214560785929,0.43914316742236437,0.19379992288409192
"promedio, hasta 50 reseñas",768,0.6118850154316109,0.377659788104015,0.4220950323774522,0.1909304325006716
"percentil 75 por dimensión, hasta 50 reseñas",768,0.6151874185124835,0.36309318391530654,0.42782246987183664,0.18022719372282786
