representacion,dimensiones,MAE,R²,R² etapa 1 afinidades,R² etapa 1 filtros
"percentil 90 por dimensión, todas las reseñas",768,0.5900289363713933,0.40023312498747843,0.4202322576264903,0.14337183198917558
"percentil 90 por dimensión, hasta 100 reseñas",768,0.590262960144619,0.40189952987564426,0.4206549138994496,0.14261942513898465
"percentil 75 por dimensión, todas las reseñas",768,0.5927750350929389,0.418374245388208,0.42544864358022083,0.13907362351272914
"promedio + percentiles de similitud, todas las reseñas",816,0.5929647911319923,0.4106711195636641,0.422005253008581,0.12934850664286499
"percentil 75 por dimensión, hasta 100 reseñas",768,0.5935716433281126,0.41968005055076396,0.42515413878471914,0.13912680115158993
"promedio + percentiles de similitud, hasta 100 reseñas",816,0.5937804738656355,0.41137393880424566,0.4226157869485272,0.13035872620298283
"promedio, hasta 100 reseñas",768,0.5959070027387542,0.40838015752904233,0.41655626325999207,0.12646331989179072
"promedio, todas las reseñas",768,0.5962548706932119,0.40566275721163614,0.4156425752944924,0.12557111788498018
"percentil 90 por dimensión, hasta 50 reseñas",768,0.6070873436011028,0.3808510731422935,0.4158938089366357,0.1519536569960028
"percentil 75 por dimensión, hasta 50 reseñas",768,0.6071868192066984,0.3948055970962566,0.4231435417511083,0.13571704373581883
"promedio + percentiles de similitud, hasta 50 reseñas",816,0.6149908384324688,0.3792661127296716,0.4234955966904754,0.13297975414187566
"promedio, hasta 50 reseñas",768,0.6161913551059518,0.37619508574106364,0.4173794991769471,0.09720090789819255
