representacion,dimensiones,MAE,R²,R² etapa 1 afinidades,R² etapa 1 filtros,Δ MAE,desv. Δ MAE
"promedio, todas las reseñas",768,0.5924372668643165,0.382367213378936,0.44640156415209403,0.1894376366523259,0.0,0.0
"percentil 90 por dimensión, todas las reseñas",768,0.5931098327349282,0.3775135707056344,0.45187363675841297,0.18618130140734704,0.0006725658706117965,0.010757442887670565
"promedio, hasta 100 reseñas",768,0.5931876636885413,0.38270670962176634,0.4484580016675187,0.18760323430502654,0.0007503968242248193,0.00018024774909177296
"percentil 95 por dimensión, todas las reseñas",768,0.593337125197366,0.365793277174722,0.43895213207179795,0.1904897341298419,0.0008998583330495746,0.010478135697590412
"percentil 90 por dimensión, hasta 100 reseñas",768,0.5940695258362326,0.3763084076031934,0.4531959359087031,0.1840165842714074,0.0016322589719161228,0.010053380138108005
"promedio + percentiles de similitud, hasta 100 reseñas",816,0.594445642884877,0.3834956352155142,0.4474553722865792,0.18341638786623288,0.0020083760205605204,0.0029045541667181737
"promedio + percentiles de similitud, todas las reseñas",816,0.5945187208611629,0.38148056559844934,0.4459137725856902,0.18675585631768438,0.0020814539968464275,0.0031698367555132996
"percentil 95 por dimensión, hasta 100 reseñas",768,0.5953487854909375,0.36327238547457713,0.4408935697813904,0.18863112826316905,0.002911518626621068,0.00899809675906643
"percentil 50 por dimensión, todas las reseñas",768,0.5966669937368001,0.3756326841640745,0.44073134398754343,0.1825950760240445,0.004229726872483663,0.003739599928710435
"percentil 50 por dimensión, hasta 100 reseñas",768,0.5969889021147867,0.37743635576806966,0.44365045369876405,0.18116402535988954,0.004551635250470265,0.0033980205042845354
"percentil 90 por dimensión, hasta 50 reseñas",768,0.5977278058083286,0.3683800130013778,0.42970182797179196,0.16764322989427866,0.0052905389440120795,0.00923828115679115
"promedio + percentiles de similitud, hasta 50 reseñas",816,0.599124189156391,0.3851536407563124,0.4285301647847312,0.17377129061435648,0.006686922292074482,0.009263727428857664
"promedio, hasta 50 reseñas",768,0.6008160449469446,0.3802723642550076,0.4256271513881303,0.1760880495200267,0.008378778082628147,0.008952139152564825
"percentil 95 por dimensión, hasta 50 reseñas",768,0.6047108662034943,0.3511890785819025,0.41297022350064827,0.18150483934245462,0.012273599339177887,0.014329466153565586
"percentil 50 por dimensión, hasta 50 reseñas",768,0.6054641089517444,0.37015817936359596,0.4176393638622306,0.1644274623890899,0.013026842087427947,0.010547042101580034
"percentil 75 por dimensión, todas las reseñas",768,0.6070684322257277,0.3556943990876566,0.43658571759537246,0.18190772421974075,0.014631165361411246,0.009226295902590794
"percentil 75 por dimensión, hasta 100 reseñas",768,0.6076477213363495,0.35661870014914915,0.43942439531984406,0.17953823626447707,0.015210454472033019,0.009516891008264645
"percentil 75 por dimensión, hasta 50 reseñas",768,0.6085782376276173,0.35788716085092265,0.4249858957786885,0.16473682895084302,0.016140970763300767,0.010879300221164019
