representacion,dimensiones,MAE,R²,R² etapa 1 afinidades,R² etapa 1 filtros,Δ MAE,desv. Δ MAE
"percentil 95 por dimensión, hasta 50 reseñas",384,0.6213262612019962,0.32031362065883306,0.3491157051054879,0.09543502661400632,-0.007564859093353871,0.012356516126583547
"percentil 90 por dimensión, hasta 50 reseñas",384,0.6276948391892806,0.29919953311289643,0.34033615843261594,0.1125357290749093,-0.0011962811060694189,0.012140598933707204
"percentil 95 por dimensión, hasta 100 reseñas",384,0.6277384637593112,0.32430941831536253,0.33900985690244234,0.10755331957758026,-0.0011526565360388875,0.004783251433330254
"promedio, todas las reseñas",384,0.6288911202953501,0.2880024866368934,0.34426841186432994,0.11871566113177438,0.0,0.0
"promedio + percentiles de similitud, todas las reseñas",432,0.6295148081751788,0.28927485250217083,0.35483820825348084,0.1169724585839053,0.000623687879828716,0.004758911566311108
"promedio + percentiles de similitud, hasta 100 reseñas",432,0.6304664072319521,0.2901275219861442,0.33719815180737733,0.1018477044638394,0.0015752869366020051,0.0096923277418181
"promedio, hasta 100 reseñas",384,0.6311556940123659,0.2926751977305557,0.3289221675907216,0.10164506378627414,0.0022645737170158943,0.009433630794083462
"percentil 50 por dimensión, todas las reseñas",384,0.631399122851468,0.2771035459273562,0.33074902723435406,0.1177053031941158,0.0025080025561180497,0.0018469299478111015
"percentil 50 por dimensión, hasta 100 reseñas",384,0.6335441726271155,0.27821720979286874,0.3149200290268897,0.09556210687491844,0.004653052331765361,0.003814689379980013
"percentil 90 por dimensión, todas las reseñas",384,0.633861072614086,0.29580242183291633,0.3445956126767641,0.12152199681939449,0.004969952318735915,0.0095418922902641
"percentil 95 por dimensión, todas las reseñas",384,0.6363512510920663,0.2772004811370571,0.3478361849832185,0.10784912722595005,0.007460130796716147,0.01042266995276127
"promedio + percentiles de similitud, hasta 50 reseñas",432,0.63717070100889,0.2762559170894813,0.32378906551092934,0.1020438868583988,0.008279580713539892,0.014410380250762952
"promedio, hasta 50 reseñas",384,0.6386708763704961,0.278097695160423,0.31973667917015247,0.10651144356860123,0.009779756075146006,0.014248902216384156
"percentil 75 por dimensión, hasta 50 reseñas",384,0.6391197010495053,0.27705202150587216,0.31620390242036744,0.10281822109803099,0.010228580754155225,0.014509810058193112
"percentil 90 por dimensión, hasta 100 reseñas",384,0.6400831254216934,0.2850431220318199,0.3249204175836672,0.09979824003325961,0.011192005126343418,0.003520730409810426
"percentil 75 por dimensión, todas las reseñas",384,0.6405458710234646,0.27831893147280296,0.3378296420754935,0.11958252585616402,0.01165475072811455,0.01257922739039913
"percentil 75 por dimensión, hasta 100 reseñas",384,0.6405712456676194,0.28252640196565443,0.3232158765678391,0.10431589611555162,0.01168012537226928,0.005908828892004779
"percentil 50 por dimensión, hasta 50 reseñas",384,0.64462968672828,0.2598675882846698,0.29638476851899054,0.09796609880242588,0.01573856643292999,0.015203254204457898
