representacion,dimensiones,MAE,R²,R² etapa 1 afinidades,R² etapa 1 filtros,Δ MAE,desv. Δ MAE
"percentil 75 por dimensión, todas las reseñas",768,0.5949925271722072,0.37648987726700567,0.40568678507390993,0.12980842222516498,-0.007269442493186551,0.004659049617047868
"promedio + percentiles de similitud, todas las reseñas",816,0.59623110223194,0.3657905153379649,0.40493511787168995,0.12580014076920487,-0.00603086743345369,0.0032516776786809436
"promedio + percentiles de similitud, hasta 100 reseñas",816,0.596982678018953,0.36654265610656184,0.40647349123777987,0.12585918064123977,-0.005279291646440654,0.00271762173006355
"percentil 75 por dimensión, hasta 100 reseñas",768,0.5976708114958411,0.3756895196349134,0.4070481759076269,0.12973315234757452,-0.004591158169552556,0.007193749685593062
"percentil 50 por dimensión, todas las reseñas",768,0.5998462178150987,0.36664869163140945,0.3959248881316101,0.12428067432692683,-0.002415751850294989,0.0033854631057430285
"percentil 50 por dimensión, hasta 100 reseñas",768,0.6007830496336373,0.3666624767915212,0.39753935026478676,0.12435513040449728,-0.0014789200317564034,0.004434088967409464
"promedio, todas las reseñas",768,0.6022619696653937,0.3619888744164248,0.3969187578483481,0.11944192235811854,0.0,0.0
"percentil 95 por dimensión, todas las reseñas",768,0.6024565129280022,0.3329692178658755,0.3887229561154255,0.13124410445177612,0.00019454326260845978,0.010006388434961915
"percentil 95 por dimensión, hasta 100 reseñas",768,0.6027276887166196,0.3322736086390079,0.3887395873635494,0.13071521937893577,0.00046571905122587686,0.00905128434333618
"promedio, hasta 100 reseñas",768,0.6027920896155742,0.36226588576438096,0.3983293014084946,0.12018929870825028,0.0005301199501803966,0.0006402460317926795
"percentil 75 por dimensión, hasta 50 reseñas",768,0.6030502578523051,0.3594087776787311,0.4002218058240067,0.11906053710930527,0.0007882881869115232,0.009546138663906174
"percentil 50 por dimensión, hasta 50 reseñas",768,0.6046764708082206,0.3528746781331994,0.39564486017562467,0.11230169492146976,0.002414501142826908,0.013822552775870732
"percentil 90 por dimensión, todas las reseñas",768,0.6059022338933622,0.3491445407241317,0.3999658733241432,0.12531562306526445,0.0036402642279685037,0.006916943084461299
"percentil 90 por dimensión, hasta 100 reseñas",768,0.6069666092411635,0.34888801139727893,0.40149124402168324,0.12595267652190362,0.004704639575769831,0.007784739955179185
"promedio + percentiles de similitud, hasta 50 reseñas",816,0.6079981405047719,0.34894938711133466,0.4043090232030929,0.11591206227948452,0.0057361708393780745,0.010448079526768721
"promedio, hasta 50 reseñas",768,0.6108538511613798,0.34749797279074496,0.39680325374482617,0.10390598953394267,0.008591881495986064,0.009191994402008389
"percentil 90 por dimensión, hasta 50 reseñas",768,0.6163187421292667,0.33355960325008704,0.39014228033972775,0.12774252985267667,0.014056772463873046,0.010433886224810156
"percentil 95 por dimensión, hasta 50 reseñas",768,0.6279003103096663,0.2965337007527423,0.3745356870368752,0.11420067031115619,0.02563834064427255,0.012023468118362485
