representacion,dimensiones,NDCG@10,Δ NDCG@10,desv. Δ NDCG@10,Precisión@10,ρ Spearman,MAE,Δ MAE,desv. Δ MAE,R²,R² etapa 1 afinidades,R² etapa 1 filtros
"percentil 95 por dimensión, hasta 50 reseñas",384,0.9518814565930223,0.022533900325915245,0.018767426620082298,0.45999999999999996,0.6372635432635269,0.6213262612019962,-0.007564859093353871,0.012356516126583547,0.32031362065883306,0.3491157051054879,0.09543502661400632
"percentil 95 por dimensión, todas las reseñas",384,0.9445726812804613,0.015225125013354313,0.01379821433323183,0.33999999999999997,0.5917836192183207,0.6363512510920663,0.007460130796716147,0.01042266995276127,0.2772004811370571,0.3478361849832185,0.10784912722595005
"percentil 95 por dimensión, hasta 100 reseñas",384,0.9439812775179346,0.014633721250827736,0.01232781625423533,0.4,0.6042767782055017,0.6277384637593112,-0.0011526565360388875,0.004783251433330254,0.32430941831536253,0.33900985690244234,0.10755331957758026
"percentil 90 por dimensión, hasta 100 reseñas",384,0.9395607177365972,0.010213161469490362,0.01195498208854821,0.3,0.5951250444166358,0.6400831254216934,0.011192005126343418,0.003520730409810426,0.2850431220318199,0.3249204175836672,0.09979824003325961
"percentil 90 por dimensión, hasta 50 reseñas",384,0.9365659859067405,0.007218429639633506,0.007946257039231585,0.27999999999999997,0.6186707900131754,0.6276948391892806,-0.0011962811060694189,0.012140598933707204,0.29919953311289643,0.34033615843261594,0.1125357290749093
"promedio + percentiles de similitud, todas las reseñas",432,0.9310534838826893,0.0017059276155822368,0.0032403781881418757,0.27999999999999997,0.6014787884407717,0.6295148081751788,0.000623687879828716,0.004758911566311108,0.28927485250217083,0.35483820825348084,0.1169724585839053
"percentil 75 por dimensión, hasta 100 reseñas",384,0.9308290934867968,0.0014815372196897991,0.008398331515840232,0.3,0.6018711394542436,0.6405712456676194,0.01168012537226928,0.005908828892004779,0.28252640196565443,0.3232158765678391,0.10431589611555162
"promedio + percentiles de similitud, hasta 100 reseñas",432,0.9305406784904076,0.0011931222233006356,0.007296260409793219,0.27999999999999997,0.6126285844057068,0.6304664072319521,0.0015752869366020051,0.0096923277418181,0.2901275219861442,0.33719815180737733,0.1018477044638394
"promedio, todas las reseñas",384,0.929347556267107,0.0,0.0,0.27999999999999997,0.6011157173536782,0.6288911202953501,0.0,0.0,0.2880024866368934,0.34426841186432994,0.11871566113177438
"promedio, hasta 100 reseñas",384,0.9279866924097696,-0.0013608638573373577,0.010934834382862222,0.26,0.6164443444113539,0.6311556940123659,0.0022645737170158943,0.009433630794083462,0.2926751977305557,0.3289221675907216,0.10164506378627414
"percentil 75 por dimensión, todas las reseñas",384,0.9273253321601029,-0.0020222241070041226,0.007614114338882849,0.27999999999999997,0.5906288189219524,0.6405458710234646,0.01165475072811455,0.01257922739039913,0.27831893147280296,0.3378296420754935,0.11958252585616402
"percentil 75 por dimensión, hasta 50 reseñas",384,0.9261093367925387,-0.003238219474568327,0.010740867868644822,0.26,0.5949271121143171,0.6391197010495053,0.010228580754155225,0.014509810058193112,0.27705202150587216,0.31620390242036744,0.10281822109803099
"percentil 50 por dimensión, hasta 100 reseñas",384,0.9244974755491379,-0.004850080717969085,0.0076095264274083155,0.26,0.6090599469786945,0.6335441726271155,0.004653052331765361,0.003814689379980013,0.27821720979286874,0.3149200290268897,0.09556210687491844
"percentil 50 por dimensión, todas las reseñas",384,0.92246712614324,-0.006880430123866988,0.004376048545562918,0.26,0.5973468052302369,0.631399122851468,0.0025080025561180497,0.0018469299478111015,0.2771035459273562,0.33074902723435406,0.1177053031941158
"promedio, hasta 50 reseñas",384,0.9217950625832596,-0.0075524936838472275,0.014681530849779266,0.2,0.6013113072618866,0.6386708763704961,0.009779756075146006,0.014248902216384156,0.278097695160423,0.31973667917015247,0.10651144356860123
"percentil 90 por dimensión, todas las reseñas",384,0.9215262950340056,-0.007821261233101274,0.009723893855055997,0.26,0.596913462319835,0.633861072614086,0.004969952318735915,0.0095418922902641,0.29580242183291633,0.3445956126767641,0.12152199681939449
"promedio + percentiles de similitud, hasta 50 reseñas",432,0.9176146419389856,-0.011732914328121513,0.007923566971615293,0.2,0.5954869443066741,0.63717070100889,0.008279580713539892,0.014410380250762952,0.2762559170894813,0.32378906551092934,0.1020438868583988
"percentil 50 por dimensión, hasta 50 reseñas",384,0.9099139004834698,-0.019433655783637226,0.013462420077556783,0.18,0.5856933945315914,0.64462968672828,0.01573856643292999,0.015203254204457898,0.2598675882846698,0.29638476851899054,0.09796609880242588
