representacion,dimensiones,NDCG@10,Δ NDCG@10,desv. Δ NDCG@10,Precisión@10,ρ Spearman,MAE,Δ MAE,desv. Δ MAE,R²,R² etapa 1 afinidades,R² etapa 1 filtros
"percentil 95 por dimensión, todas las reseñas",768,0.9442265031274448,0.00635117941565555,0.008660265839245729,0.4,0.6286283073759777,0.6024565129280022,0.00019454326260845978,0.010006388434961915,0.3329692178658755,0.3887229561154255,0.13124410445177612
"percentil 95 por dimensión, hasta 100 reseñas",768,0.9442079596836066,0.006332635971817435,0.008642717166403448,0.4,0.6283319945210273,0.6027276887166196,0.00046571905122587686,0.00905128434333618,0.3322736086390079,0.3887395873635494,0.13071521937893577
"percentil 75 por dimensión, todas las reseñas",768,0.9413010721969245,0.003425748485135327,0.007915942025832647,0.3,0.6405651477619673,0.5949925271722072,-0.007269442493186551,0.004659049617047868,0.37648987726700567,0.40568678507390993,0.12980842222516498
"percentil 75 por dimensión, hasta 100 reseñas",768,0.9400529579872611,0.002177634275471907,0.00769081792967816,0.3,0.640538210229699,0.5976708114958411,-0.004591158169552556,0.007193749685593062,0.3756895196349134,0.4070481759076269,0.12973315234757452
"promedio + percentiles de similitud, todas las reseñas",816,0.9394942790100395,0.0016189552982502908,0.006194773627087225,0.33999999999999997,0.6434732300498804,0.59623110223194,-0.00603086743345369,0.0032516776786809436,0.3657905153379649,0.40493511787168995,0.12580014076920487
"promedio + percentiles de similitud, hasta 100 reseñas",816,0.9388029613219245,0.0009276376101353678,0.006450784200255209,0.33999999999999997,0.6430551127011954,0.596982678018953,-0.005279291646440654,0.00271762173006355,0.36654265610656184,0.40647349123777987,0.12585918064123977
"percentil 90 por dimensión, todas las reseñas",768,0.9387496036102594,0.0008742798984701317,0.007685740580394252,0.32,0.6288098429195246,0.6059022338933622,0.0036402642279685037,0.006916943084461299,0.3491445407241317,0.3999658733241432,0.12531562306526445
"percentil 90 por dimensión, hasta 100 reseñas",768,0.9380320123329036,0.00015668862111428705,0.008695359697900081,0.32,0.6292490418152021,0.6069666092411635,0.004704639575769831,0.007784739955179185,0.34888801139727893,0.40149124402168324,0.12595267652190362
"promedio, todas las reseñas",768,0.9378753237117893,0.0,0.0,0.27999999999999997,0.6360045064292511,0.6022619696653937,0.0,0.0,0.3619888744164248,0.3969187578483481,0.11944192235811854
"promedio, hasta 100 reseñas",768,0.9374632348208033,-0.0004120888909858733,0.0008952752796016934,0.27999999999999997,0.6346623146040604,0.6027920896155742,0.0005301199501803966,0.0006402460317926795,0.36226588576438096,0.3983293014084946,0.12018929870825028
"percentil 90 por dimensión, hasta 50 reseñas",768,0.936676424657439,-0.001198899054350222,0.008827967670381912,0.38,0.6260926657515992,0.6163187421292667,0.014056772463873046,0.010433886224810156,0.33355960325008704,0.39014228033972775,0.12774252985267667
"percentil 50 por dimensión, hasta 100 reseñas",768,0.9350711043174309,-0.0028042193943583317,0.011275787205044598,0.3,0.633423188119722,0.6007830496336373,-0.0014789200317564034,0.004434088967409464,0.3666624767915212,0.39753935026478676,0.12435513040449728
"promedio, hasta 50 reseñas",768,0.9350384899602899,-0.00283683375149939,0.0065135555148476834,0.34,0.6226411480301008,0.6108538511613798,0.008591881495986064,0.009191994402008389,0.34749797279074496,0.39680325374482617,0.10390598953394267
"percentil 50 por dimensión, todas las reseñas",768,0.934722966744267,-0.0031523569675222297,0.011257081448833464,0.3,0.6346447466482333,0.5998462178150987,-0.002415751850294989,0.0033854631057430285,0.36664869163140945,0.3959248881316101,0.12428067432692683
"percentil 50 por dimensión, hasta 50 reseñas",768,0.9342738993825609,-0.0036014243292283865,0.008362840612134045,0.3,0.6232759368339869,0.6046764708082206,0.002414501142826908,0.013822552775870732,0.3528746781331994,0.39564486017562467,0.11230169492146976
"promedio + percentiles de similitud, hasta 50 reseñas",816,0.9320379455052787,-0.005837378206510468,0.009924508585416235,0.3,0.6298393251309928,0.6079981405047719,0.0057361708393780745,0.010448079526768721,0.34894938711133466,0.4043090232030929,0.11591206227948452
"percentil 95 por dimensión, hasta 50 reseñas",768,0.9304310173878989,-0.007444306323890304,0.01288423106310324,0.38,0.618793765703965,0.6279003103096663,0.02563834064427255,0.012023468118362485,0.2965337007527423,0.3745356870368752,0.11420067031115619
"percentil 75 por dimensión, hasta 50 reseñas",768,0.9295147979674067,-0.008360525744382508,0.011881638595484445,0.3,0.6332861580642705,0.6030502578523051,0.0007882881869115232,0.009546138663906174,0.3594087776787311,0.4002218058240067,0.11906053710930527
