filtro,chunks,texto,métrica,rho,p
Camaradería Masculina Rancia,todos,descripción del perfil,promedio,-0.007,0.9414
Camaradería Masculina Rancia,todos,descripción del perfil,percentil 90,0.006,0.9529
Camaradería Masculina Rancia,todos,descripción del perfil,fracción sobre p95,-0.035,0.7285
Camaradería Masculina Rancia,solo inglés,descripción del perfil,promedio,0.028,0.7824
Camaradería Masculina Rancia,solo inglés,descripción del perfil,percentil 90,0.047,0.64
Camaradería Masculina Rancia,solo inglés,descripción del perfil,fracción sobre p95,-0.005,0.9581
Camaradería Masculina Rancia,todos,sonda 1: sexist humor where women are only objects or jokes,promedio,0.011,0.9158
Camaradería Masculina Rancia,todos,sonda 1: sexist humor where women are only objects or jokes,percentil 90,0.035,0.7296
Camaradería Masculina Rancia,todos,sonda 1: sexist humor where women are only objects or jokes,fracción sobre p95,-0.026,0.7943
Camaradería Masculina Rancia,solo inglés,sonda 1: sexist humor where women are only objects or jokes,promedio,0.014,0.8928
Camaradería Masculina Rancia,solo inglés,sonda 1: sexist humor where women are only objects or jokes,percentil 90,0.059,0.5582
Camaradería Masculina Rancia,solo inglés,sonda 1: sexist humor where women are only objects or jokes,fracción sobre p95,0.026,0.7974
Camaradería Masculina Rancia,todos,sonda 2: the women are just props for the men and their friendship,promedio,-0.019,0.8501
Camaradería Masculina Rancia,todos,sonda 2: the women are just props for the men and their friendship,percentil 90,-0.013,0.8957
Camaradería Masculina Rancia,todos,sonda 2: the women are just props for the men and their friendship,fracción sobre p95,-0.012,0.9028
Camaradería Masculina Rancia,solo inglés,sonda 2: the women are just props for the men and their friendship,promedio,-0.027,0.7861
Camaradería Masculina Rancia,solo inglés,sonda 2: the women are just props for the men and their friendship,percentil 90,-0.035,0.7272
Camaradería Masculina Rancia,solo inglés,sonda 2: the women are just props for the men and their friendship,fracción sobre p95,-0.036,0.7202
Camaradería Masculina Rancia,todos,"sonda 3: humor machista y sexista, las mujeres son un chiste",promedio,0.053,0.5977
Camaradería Masculina Rancia,todos,"sonda 3: humor machista y sexista, las mujeres son un chiste",percentil 90,0.082,0.4152
Camaradería Masculina Rancia,todos,"sonda 3: humor machista y sexista, las mujeres son un chiste",fracción sobre p95,0.009,0.9322
Camaradería Masculina Rancia,solo inglés,"sonda 3: humor machista y sexista, las mujeres son un chiste",promedio,0.053,0.6033
Camaradería Masculina Rancia,solo inglés,"sonda 3: humor machista y sexista, las mujeres son un chiste",percentil 90,0.087,0.3878
Camaradería Masculina Rancia,solo inglés,"sonda 3: humor machista y sexista, las mujeres son un chiste",fracción sobre p95,0.065,0.523
Camaradería Masculina Rancia,todos,sondas combinadas,fracción sobre p95,0.003,0.9765
Camaradería Masculina Rancia,solo inglés,sondas combinadas,fracción sobre p95,0.016,0.8711
Insoportabilidad Prolongada,todos,descripción del perfil,promedio,0.345,0.0004
Insoportabilidad Prolongada,todos,descripción del perfil,percentil 90,0.391,0.0001
Insoportabilidad Prolongada,todos,descripción del perfil,fracción sobre p95,0.379,0.0001
Insoportabilidad Prolongada,solo inglés,descripción del perfil,promedio,0.36,0.0002
Insoportabilidad Prolongada,solo inglés,descripción del perfil,percentil 90,0.406,0.0
Insoportabilidad Prolongada,solo inglés,descripción del perfil,fracción sobre p95,0.409,0.0
Insoportabilidad Prolongada,todos,"sonda 1: the main character is insufferable, arrogant and smug",promedio,0.365,0.0002
Insoportabilidad Prolongada,todos,"sonda 1: the main character is insufferable, arrogant and smug",percentil 90,0.428,0.0
Insoportabilidad Prolongada,todos,"sonda 1: the main character is insufferable, arrogant and smug",fracción sobre p95,0.433,0.0
Insoportabilidad Prolongada,solo inglés,"sonda 1: the main character is insufferable, arrogant and smug",promedio,0.358,0.0003
Insoportabilidad Prolongada,solo inglés,"sonda 1: the main character is insufferable, arrogant and smug",percentil 90,0.407,0.0
Insoportabilidad Prolongada,solo inglés,"sonda 1: the main character is insufferable, arrogant and smug",fracción sobre p95,0.412,0.0
Insoportabilidad Prolongada,todos,"sonda 2: I couldn't stand the protagonist, he is a pretentious narcissist and a creep",promedio,0.467,0.0
Insoportabilidad Prolongada,todos,"sonda 2: I couldn't stand the protagonist, he is a pretentious narcissist and a creep",percentil 90,0.525,0.0
Insoportabilidad Prolongada,todos,"sonda 2: I couldn't stand the protagonist, he is a pretentious narcissist and a creep",fracción sobre p95,0.526,0.0
Insoportabilidad Prolongada,solo inglés,"sonda 2: I couldn't stand the protagonist, he is a pretentious narcissist and a creep",promedio,0.441,0.0
Insoportabilidad Prolongada,solo inglés,"sonda 2: I couldn't stand the protagonist, he is a pretentious narcissist and a creep",percentil 90,0.495,0.0
Insoportabilidad Prolongada,solo inglés,"sonda 2: I couldn't stand the protagonist, he is a pretentious narcissist and a creep",fracción sobre p95,0.485,0.0
Insoportabilidad Prolongada,todos,"sonda 3: an unlikable, annoying character you have to spend the whole movie with",promedio,0.387,0.0001
Insoportabilidad Prolongada,todos,"sonda 3: an unlikable, annoying character you have to spend the whole movie with",percentil 90,0.492,0.0
Insoportabilidad Prolongada,todos,"sonda 3: an unlikable, annoying character you have to spend the whole movie with",fracción sobre p95,0.509,0.0
Insoportabilidad Prolongada,solo inglés,"sonda 3: an unlikable, annoying character you have to spend the whole movie with",promedio,0.386,0.0001
Insoportabilidad Prolongada,solo inglés,"sonda 3: an unlikable, annoying character you have to spend the whole movie with",percentil 90,0.485,0.0
Insoportabilidad Prolongada,solo inglés,"sonda 3: an unlikable, annoying character you have to spend the whole movie with",fracción sobre p95,0.492,0.0
Insoportabilidad Prolongada,todos,"sonda 4: un protagonista insoportable, arrogante y pedante",promedio,0.333,0.0007
Insoportabilidad Prolongada,todos,"sonda 4: un protagonista insoportable, arrogante y pedante",percentil 90,0.388,0.0001
Insoportabilidad Prolongada,todos,"sonda 4: un protagonista insoportable, arrogante y pedante",fracción sobre p95,0.416,0.0
Insoportabilidad Prolongada,solo inglés,"sonda 4: un protagonista insoportable, arrogante y pedante",promedio,0.345,0.0004
Insoportabilidad Prolongada,solo inglés,"sonda 4: un protagonista insoportable, arrogante y pedante",percentil 90,0.392,0.0001
Insoportabilidad Prolongada,solo inglés,"sonda 4: un protagonista insoportable, arrogante y pedante",fracción sobre p95,0.416,0.0
Insoportabilidad Prolongada,todos,sondas combinadas,fracción sobre p95,0.524,0.0
Insoportabilidad Prolongada,solo inglés,sondas combinadas,fracción sobre p95,0.483,0.0
Control Emocional Artificial,todos,descripción del perfil,promedio,-0.14,0.1614
