representacion,dimensiones,NDCG@10,Δ NDCG@10,desv. Δ NDCG@10,Precisión@10,ρ Spearman,MAE,Δ MAE,desv. Δ MAE,R²,R² etapa 1 afinidades,R² etapa 1 filtros
"promedio + percentiles de similitud, todas las reseñas",816,0.9390252430639094,0.0015834109822690623,0.00857783057361219,0.3,0.6460158988565899,0.5945969601812451,0.0021435402036194427,0.0031562471940281794,0.381483302140312,0.44609462361367547,0.18689219806988994
"promedio + percentiles de similitud, hasta 100 reseñas",816,0.9388829338540641,0.0014411017724236918,0.008390787076140431,0.3,0.645833192115988,0.5950937561176441,0.0026403361400185953,0.0034613612011199523,0.3825061910533733,0.44724429852495684,0.1854693017617249
"promedio, hasta 100 reseñas",768,0.9381116578389088,0.0006698257572684607,0.0010291437704021966,0.3,0.6554299807858073,0.5932592700138151,0.0008058500361894927,0.0005888962048700961,0.3824388621102931,0.44787334473559637,0.18829282859829224
"promedio, todas las reseñas",768,0.9374418320816403,0.0,0.0,0.3,0.6559991825546054,0.5924534199776256,0.0,0.0,0.38248117740774384,0.44650546169079863,0.18993081949558493
"percentil 95 por dimensión, hasta 100 reseñas",768,0.9368905926695985,-0.0005512394120417597,0.007828512125703001,0.24,0.6534881360683847,0.594230381822251,0.001776961844625302,0.009126085739035535,0.36561434539330523,0.44021165759643155,0.18742905318526232
"percentil 95 por dimensión, todas las reseñas",768,0.9368263069777576,-0.0006155251038827414,0.006998557992598354,0.26,0.6535068752212669,0.5929333117048017,0.0004798917271761294,0.010919461282710229,0.36711393639377715,0.43932851416654806,0.18911390953537927
"percentil 90 por dimensión, hasta 50 reseñas",768,0.9365943664233709,-0.0008474656582693641,0.01746572318038586,0.24,0.6570837110276654,0.5981877744426793,0.005734354465053748,0.009198718673075142,0.369962608186277,0.4321148275328226,0.16628956907625586
"percentil 75 por dimensión, hasta 100 reseñas",768,0.9351609903725677,-0.002280841709072656,0.01555650461839741,0.32,0.6327181274925275,0.6072155898831293,0.014762169905503785,0.009612884096153927,0.3572970201819685,0.43920858359193,0.18117162900568073
"percentil 75 por dimensión, todas las reseñas",768,0.934142197976396,-0.0032996341052444087,0.014998329585708717,0.32,0.633756979280437,0.6066063830287607,0.01415296305113518,0.009350736830804124,0.3568852620119415,0.4372643502596983,0.1826986939410858
"percentil 50 por dimensión, todas las reseñas",768,0.9334909035573536,-0.003950928524286623,0.006918443828179548,0.32,0.6545199606739633,0.5965028035392163,0.004049383561590636,0.003549339920897198,0.37569545618095124,0.4410068112088753,0.18295896070093903
"percentil 90 por dimensión, hasta 100 reseñas",768,0.9333814287531377,-0.0040604033285026155,0.012060827091571235,0.27999999999999997,0.653991750802095,0.5926927038169258,0.00023928383930031937,0.010638265212009924,0.3791738879189378,0.45427351168452085,0.18633197768999019
"percentil 50 por dimensión, hasta 100 reseñas",768,0.9332077670950486,-0.004234064986591712,0.006869646570279785,0.32,0.655068080895769,0.59694075181447,0.004487331836844443,0.003341470908963394,0.37748475389942077,0.44318368758592835,0.1817939443976415
"percentil 90 por dimensión, todas las reseñas",768,0.9323960491593777,-0.005045782922262676,0.012588157884786894,0.27999999999999997,0.6542025662720203,0.5916312055559076,-0.0008222144217179261,0.011046544416802898,0.3807509817352947,0.45314747100437247,0.187915556204697
"percentil 95 por dimensión, hasta 50 reseñas",768,0.9305136001127849,-0.006928231968855369,0.01836046074544055,0.24,0.6411753414276953,0.6051274232959137,0.012674003318288208,0.014415586303029138,0.34989397780244147,0.41333276308355443,0.17843118485797765
"promedio + percentiles de similitud, hasta 50 reseñas",816,0.927720847333638,-0.009720984748002337,0.010730283509967232,0.26,0.6484859534458808,0.5998450819812786,0.007391662003652977,0.009184678065097877,0.38519469018150565,0.4296412093533547,0.1739248511014417
"percentil 75 por dimensión, hasta 50 reseñas",768,0.9265707763006894,-0.010871055780950845,0.016384433452388162,0.27999999999999997,0.6319732461654584,0.6091477047412497,0.016694284763624157,0.010384157203879548,0.35708522065487014,0.4266453283909649,0.16387888294690628
"percentil 50 por dimensión, hasta 50 reseñas",768,0.9222732387495105,-0.015168593332129766,0.019260711710590468,0.27999999999999997,0.6502954528960725,0.6072454232171076,0.014792003239482088,0.01040006684144522,0.36884463021940367,0.4189679832770293,0.1658387757438796
"promedio, hasta 50 reseñas",768,0.9215312896654057,-0.01591054241623473,0.016237873524444394,0.26,0.6504898716072256,0.6017229001552427,0.009269480177617018,0.008162195045299844,0.38009728255527553,0.42643059269135153,0.17657309845555796
