,filtro · Camaradería Masculina Rancia,filtro · Insoportabilidad Prolongada,filtro · Control Emocional Artificial,filtro · Personajes Diorama,filtro · Caos Asfixiante,afinidad · Resistencia Femenina,afinidad · Contemplación Inmersiva,afinidad · Ternura y Empatía Radical,afinidad · Humanismo Social,afinidad · Vanguardia y Simbolismo,excepción · Camaradería Masculina Rancia,excepción · Insoportabilidad Prolongada
filtro · Camaradería Masculina Rancia,1.0,0.4635,0.1642,0.3478,0.2984,0.5384,0.2816,0.324,0.4038,0.4241,0.5696,0.2341
filtro · Insoportabilidad Prolongada,0.4635,1.0,0.305,0.3516,0.5059,0.4236,0.4794,0.4582,0.4444,0.4052,0.5126,0.5862
filtro · Control Emocional Artificial,0.1642,0.305,1.0,0.2994,0.4107,0.1432,0.4615,0.3157,0.2141,0.2666,0.3005,0.3553
filtro · Personajes Diorama,0.3478,0.3516,0.2994,1.0,0.3277,0.1825,0.4045,0.2629,0.2387,0.4236,0.3692,0.2902
filtro · Caos Asfixiante,0.2984,0.5059,0.4107,0.3277,1.0,0.254,0.5561,0.3134,0.2487,0.4848,0.2759,0.5107
afinidad · Resistencia Femenina,0.5384,0.4236,0.1432,0.1825,0.254,1.0,0.4581,0.5256,0.4467,0.3866,0.4713,0.3072
afinidad · Contemplación Inmersiva,0.2816,0.4794,0.4615,0.4045,0.5561,0.4581,1.0,0.5543,0.4352,0.5541,0.4217,0.5618
afinidad · Ternura y Empatía Radical,0.324,0.4582,0.3157,0.2629,0.3134,0.5256,0.5543,1.0,0.5872,0.4489,0.4056,0.4777
afinidad · Humanismo Social,0.4038,0.4444,0.2141,0.2387,0.2487,0.4467,0.4352,0.5872,1.0,0.4529,0.3377,0.3799
afinidad · Vanguardia y Simbolismo,0.4241,0.4052,0.2666,0.4236,0.4848,0.3866,0.5541,0.4489,0.4529,1.0,0.4214,0.4267
excepción · Camaradería Masculina Rancia,0.5696,0.5126,0.3005,0.3692,0.2759,0.4713,0.4217,0.4056,0.3377,0.4214,1.0,0.4802
excepción · Insoportabilidad Prolongada,0.2341,0.5862,0.3553,0.2902,0.5107,0.3072,0.5618,0.4777,0.3799,0.4267,0.4802,1.0
