film_id,n_chunks,evaluada,sim · filtro · Camaradería Masculina Rancia,sim · filtro · Insoportabilidad Prolongada,sim · filtro · Control Emocional Artificial,sim · filtro · Personajes Diorama,sim · filtro · Caos Asfixiante,sim · afinidad · Resistencia Femenina,sim · afinidad · Contemplación Inmersiva,sim · afinidad · Ternura y Empatía Radical,sim · afinidad · Humanismo Social,sim · afinidad · Vanguardia y Simbolismo,sim · excepción · Camaradería Masculina Rancia,sim · excepción · Insoportabilidad Prolongada,pred · gt_afinidad_resistencia_femenina,pred · gt_afinidad_contemplación_inmersiva,pred · gt_afinidad_ternura_y_empatía_radical,pred · gt_afinidad_humanismo_social,pred · gt_afinidad_vanguardia_y_simbolismo,pred · gt_cols_camaradería_masculina_rancia,pred · gt_cols_insoportabilidad_prolongada,pred · gt_cols_control_emocional_artificial,pred · gt_cols_personajes_diorama,pred · gt_cols_caos_asfixiante,pred · gt_excepcion_camaradería_masculina_rancia,pred · gt_excepcion_insoportabilidad_prolongada,pred · gt_excepcion_control_emocional_artificial,pred · gt_excepcion_personajes_diorama,pred · gt_excepcion_caos_asfixiante,nota_reglas,nota_gemini,nota_modelo_entrenamiento,nota_modelo_cv,error_cv,nota_reglas_cv,error_reglas_cv,nota_modelo
one-battle-after-another,19,False,0.33944487163705045,0.4664897805751558,0.20047354828515185,0.2693306787648215,0.5005726336907051,0.09939595088273323,0.4456007912508478,0.23477163559296488,0.2324770588643427,0.4459039288963597,0.4444380213301688,0.6125727747917162,5.5,4.0,5.0,7.0,6.5,1.0,3.0,4.0,0.0,6.5,0.0,0.0,0.0,0.0,0.5,7.588505928867364,,,,,,,6.677807695790624
sinners,18,True,0.34843258176812275,0.5066687196875251,0.27239367560659977,0.4239508038870957,0.5081434494253181,0.13533171505743058,0.4979181485817902,0.27384428080207357,0.3255788627516516,0.5952510103282243,0.543193956478032,0.6338760921517218,5.5,4.0,5.0,7.0,6.5,1.0,3.0,4.0,0.0,6.5,0.0,0.0,0.0,0.0,0.5,7.588505928867364,7.5,7.499999999999999,5.5,-2.0,6.1117713073131,-1.3882286926868996,7.499999999999999
marty-supreme,15,True,0.30601815577989305,0.5311482239118172,0.21532852142104744,0.2301632241690468,0.48465614694782555,0.08678849341167592,0.4005035945345346,0.28669081426304244,0.21998128805208203,0.43817056469073085,0.4968923679067838,0.621913823993548,5.5,4.0,5.0,7.0,6.5,1.0,3.0,4.0,0.0,6.5,0.0,0.0,0.0,0.0,0.5,7.588505928867364,5.5,5.500000000000001,7.5,2.0,7.966478229381859,2.466478229381859,5.500000000000001
it-was-just-an-accident,15,False,0.3768729472209519,0.5549987000890326,0.3535351912549569,0.3889515842709265,0.6133763144039159,0.2393385192906822,0.5785336108279199,0.3931532037290628,0.33517557463367686,0.5105733222718245,0.4548429753306237,0.6696832482408732,5.5,4.0,5.0,7.0,6.5,1.0,3.0,4.0,0.0,6.5,0.0,0.0,0.0,0.0,0.5,7.588505928867364,,,,,,,7.289633619565549
sentimental-value,18,False,0.3603070095646636,0.46650978572340795,0.39141788374676867,0.3489302553611038,0.5021209829094341,0.2604165805790306,0.5320836697125348,0.5263227035993544,0.381293037178703,0.4853999029666018,0.5223028468476623,0.5531393517704133,5.5,4.0,5.0,7.0,6.5,1.0,3.0,4.0,0.0,6.5,0.0,0.0,0.0,0.0,0.5,7.588505928867364,,,,,,,4.044093168969697
the-secret-agent,17,False,0.33050680046124015,0.5117363375042634,0.28998029850416196,0.43043783701749927,0.5490369827225113,0.16762502049378236,0.5688786595727731,0.2628462473854717,0.26084503492298755,0.6008187993876577,0.5162277635510933,0.6607755690737888,5.5,4.0,5.0,7.0,6.5,1.0,3.0,4.0,0.0,6.5,0.0,0.0,0.0,0.0,0.5,7.588505928867364,,,,,,,8.29860173862084
weapons,14,False,0.3213131037497519,0.5568702247009742,0.2754053580326647,0.4075272280336617,0.5850476412150254,0.1758987641694327,0.569086164436711,0.32889205257438786,0.3366576182775196,0.5739686410999638,0.4825940454697667,0.6726578379254333,5.5,4.0,5.0,7.0,6.5,1.0,3.0,4.0,0.0,6.5,0.0,0.0,0.0,0.0,0.5,7.588505928867364,,,,,,,7.456003062932899
train-dreams,20,False,0.26159670143897057,0.4789997318272893,0.3367833741354863,0.38958802003910326,0.5271047192370425,0.14693032923250451,0.5914877689895426,0.4105145574361285,0.39392567046728644,0.6085213487423293,0.5186068634367546,0.6381849975516196,5.5,4.0,5.0,7.0,6.5,1.0,3.0,4.0,0.0,6.5,0.0,0.0,0.0,0.0,0.5,7.588505928867364,,,,,,,6.160497553379801
hamnet,14,False,0.3443426604065058,0.5478746153587408,0.32814520247746304,0.40012990545954574,0.5353289852537639,0.21246780098930163,0.5250867911718426,0.3716336877422398,0.31086443279917575,0.521223137574585,0.4834823324595751,0.5948179196009242,5.5,4.0,5.0,7.0,6.5,1.0,3.0,4.0,0.0,6.5,0.0,0.0,0.0,0.0,0.5,7.588505928867364,,,,,,,5.720373485338714
sorry-baby,13,False,0.34851553028279225,0.49603304295115225,0.34949270975133745,0.27981342931888853,0.5674877732422827,0.19001373371499516,0.5565453044542493,0.3567750158253046,0.32912379349979937,0.5045419998258432,0.45481696367572855,0.6084612318028902,5.5,4.0,5.0,7.0,6.5,1.0,3.0,4.0,0.0,6.5,0.0,0.0,0.0,0.0,0.5,7.588505928867364,,,,,,,6.544325322461402
