representacion,dimensiones,ρ Spearman,Δ ρ,desv. Δ ρ,mejora ρ,NDCG@10,Precisión@10,MAE,Δ MAE,desv. Δ MAE,R²,R² etapa 1 afinidades,R² etapa 1 filtros
"percentil 95 por dimensión, hasta 50 reseñas",384,0.6348766436651511,0.03948222392583296,0.021790348758850872,10/10,0.9532537204097805,0.45999999999999996,0.6235104659561583,-0.0068766186796675784,0.014953824289263956,0.3088852153931879,0.35188959990965163,0.08946887517648318
"promedio, hasta 100 reseñas",384,0.6159067649630444,0.020512345223726292,0.009606844061751628,10/10,0.9293420181498169,0.25,0.6285893319178506,-0.0017977527179753316,0.007041946304318459,0.29304070047821523,0.33051880132753453,0.10642705231779663
"promedio + percentiles de similitud, hasta 100 reseñas",432,0.6155132427525173,0.02011882301319916,0.01300621996484109,10/10,0.9286312069109229,0.27,0.6278805439793322,-0.002506540656493672,0.008421898557280698,0.29022806427197506,0.3406854634517045,0.10612755788704917
"percentil 95 por dimensión, hasta 100 reseñas",384,0.6145979522539252,0.019203532514607123,0.021922199809157935,8/10,0.9472507081247308,0.42000000000000004,0.6216563511392548,-0.008730733496571164,0.009194626040646895,0.32255965228344774,0.34814370239608694,0.10741589053588592
"percentil 90 por dimensión, hasta 50 reseñas",384,0.6143613704487869,0.018966950709468765,0.013611404528536009,9/10,0.9381379956496868,0.27,0.6303906886647421,3.604028916281976e-06,0.012069170588592975,0.2892400088302775,0.33894782494031056,0.10863036855425554
"percentil 50 por dimensión, hasta 100 reseñas",384,0.6088690418587067,0.01347462211938858,0.010218944315019164,10/10,0.9254247959401722,0.25,0.6341564648233657,0.0037693801875397725,0.002857049631198084,0.27526937510522487,0.31520129505997974,0.1010350304974714
"percentil 75 por dimensión, hasta 100 reseñas",384,0.6019027617747325,0.006508342035414338,0.014635177728809692,6/10,0.9299533316314189,0.27,0.6384271316941325,0.008040047058306587,0.008122979961068312,0.2801986343736893,0.3246516011598848,0.1070982717712056
"percentil 90 por dimensión, hasta 100 reseñas",384,0.6013874350704708,0.005993015331152629,0.02482844977082694,7/10,0.9413612065337137,0.32,0.6339548362938288,0.0035677516580027934,0.008662881545911301,0.2831032083805282,0.32777251448953476,0.10301280380671643
"promedio + percentiles de similitud, todas las reseñas",432,0.5961363730737494,0.0007419533344312889,0.005786281142952664,6/10,0.9276659737455855,0.27999999999999997,0.6292062639632823,-0.0011808206725436587,0.004691007274006066,0.2809860861693599,0.3527356042027961,0.11879016598451256
"promedio, todas las reseñas",384,0.5953944197393181,0.0,0.0,referencia,0.9286607121444019,0.27999999999999997,0.6303870846358259,0.0,0.0,0.27747180457049747,0.34063240652094817,0.12021378566853362
"percentil 90 por dimensión, todas las reseñas",384,0.5943760638998736,-0.0010183558394444737,0.017833070440469112,4/10,0.9338110183471718,0.32,0.6354351804601907,0.005048095824364729,0.009115209058444944,0.282999434110183,0.3426332940558904,0.12098149556201916
"percentil 50 por dimensión, todas las reseñas",384,0.5922960179299446,-0.0030984018093735523,0.0048942254642240935,2/10,0.9217956334058984,0.23000000000000004,0.6335630797314089,0.0031759950955830064,0.0019312907368645516,0.2673073389991365,0.32621179144464124,0.11861093254916263
"percentil 75 por dimensión, hasta 50 reseñas",384,0.5914732519987085,-0.003921167740609566,0.020606859891166052,5/10,0.923721554988985,0.21000000000000002,0.6424820736499683,0.012094989014142443,0.013558443944598254,0.26917119618123386,0.3154223872110088,0.10249159670923443
"percentil 95 por dimensión, todas las reseñas",384,0.5907336410583874,-0.004660778680930677,0.020511018731032317,4/10,0.9464111236569362,0.36,0.6334136450168322,0.003026560381006194,0.009852917239034947,0.27567253885521636,0.35113489503444273,0.10968365206096939
"percentil 75 por dimensión, todas las reseñas",384,0.5885997200239219,-0.006794699715396213,0.010704452783523256,1/10,0.9224806924542299,0.24,0.6390824289461369,0.008695344310310993,0.009523975622017924,0.27054738255818017,0.33526453061732386,0.12154339635442091
"promedio, hasta 50 reseñas",384,0.588525934609448,-0.006868485129870022,0.02209804312051253,5/10,0.9213177816113983,0.19,0.6416102588517296,0.011223174215903742,0.01338812330065114,0.2679747826804807,0.31810281817443864,0.1045491124206285
"promedio + percentiles de similitud, hasta 50 reseñas",432,0.5881247996180625,-0.007269620121255582,0.01175378999898025,3/10,0.9150484693260287,0.18,0.6385175064989358,0.008130421863109883,0.012089275263319784,0.26954469668560616,0.3229881438537651,0.10045018873726619
"percentil 50 por dimensión, hasta 50 reseñas",384,0.5809154961451467,-0.014478923594171389,0.010454611733216046,2/10,0.9130877189926154,0.16,0.6460471136672659,0.015660029031439926,0.01162787883517098,0.25518025479564,0.29640343408894243,0.09370022806739656
