representacion,dimensiones,ρ Spearman,Δ ρ,desv. Δ ρ,mejora ρ,NDCG@10,Precisión@10,MAE,Δ MAE,desv. Δ MAE,R²,R² etapa 1 afinidades,R² etapa 1 filtros
"percentil 50 por dimensión, todas las reseñas",768,0.6666014438962626,0.0011588994860613267,0.004533953461696477,6/10,0.9364611149187644,0.29,0.5875504385940762,0.0019783633421888934,0.003808592742170004,0.38574972796169016,0.44680299478146157,0.1857740643512043
"percentil 50 por dimensión, hasta 100 reseñas",768,0.6662190480577592,0.0007765036475580134,0.0038557889048041424,7/10,0.9364263783436542,0.29,0.5883420613906735,0.002769986138786118,0.003705872323200555,0.38697389695708784,0.44888720030873924,0.1843215848015805
"percentil 90 por dimensión, todas las reseñas",768,0.6656070975964485,0.00016455318624724046,0.011793467612576176,5/10,0.9312411440728667,0.26,0.5863341778323463,0.000762102580458901,0.009159288100612914,0.388523349032466,0.45756039979405755,0.18812488839740243
"promedio, todas las reseñas",768,0.6654425444102012,0.0,0.0,referencia,0.9378493393598906,0.29,0.5855720752518874,0.0,0.0,0.38809332591044965,0.4491532142364769,0.19141663462615188
"percentil 90 por dimensión, hasta 100 reseñas",768,0.6653330374855456,-0.00010950692465557798,0.01159494517550326,5/10,0.9325291248511522,0.26,0.5874990005997008,0.001926925347813513,0.00879542814488043,0.3876682371329204,0.4595634379935881,0.18613234057534284
"promedio, hasta 100 reseñas",768,0.6645360378895228,-0.0009065065206785294,0.002471194640572364,4/10,0.9381760167709222,0.29,0.5868578920595627,0.0012858168076754438,0.0009550715378313299,0.38835445563476273,0.4507895159039004,0.18964658753870417
"percentil 90 por dimensión, hasta 50 reseñas",768,0.6593780860586851,-0.006064458351516211,0.01635995447383449,4/10,0.9369685171596824,0.26,0.5948064866654498,0.00923441141356246,0.010112396158435365,0.36979416213139527,0.4353480609335107,0.16677035223752326
"percentil 95 por dimensión, todas las reseñas",768,0.659059520459687,-0.006383023950514333,0.01004189299937173,3/10,0.9380211481661572,0.25,0.5908789754874412,0.005306900235553769,0.010476924415189093,0.3671422209623632,0.4403184612611416,0.1867861292243697
"percentil 95 por dimensión, hasta 100 reseñas",768,0.6583749557809575,-0.007067588629243815,0.010313518031425972,3/10,0.9388141302663972,0.24,0.5920419554906711,0.006469880238783676,0.00976405932661127,0.36609580017151205,0.44159972888701987,0.1849722824666229
"percentil 50 por dimensión, hasta 50 reseñas",768,0.6577378245829612,-0.007704719827240114,0.006015404750043304,1/10,0.9247504046006918,0.27999999999999997,0.596563086934194,0.010991011682306605,0.00933183632439835,0.3762728588405245,0.4236571762498252,0.16902175081481938
"promedio + percentiles de similitud, todas las reseñas",816,0.6576915622992832,-0.007750982110918137,0.004841675206276409,0/10,0.9377857746418247,0.27999999999999997,0.5864335847160399,0.0008615094641525878,0.003135753516803766,0.3885878371060707,0.4492249469110587,0.1892426205725504
"promedio + percentiles de similitud, hasta 100 reseñas",816,0.6575387210835874,-0.007903823326613945,0.005718428874244611,1/10,0.9374055259998288,0.29,0.5875696289491741,0.0019975536972867804,0.002863644918155809,0.3893901166058211,0.4507032610640501,0.18714141704928178
"promedio, hasta 50 reseñas",768,0.6569291130163868,-0.008513431393814474,0.006265817164738798,1/10,0.9279698309056099,0.26,0.5933888185314211,0.007816743279533777,0.006488123354914922,0.3809932975991395,0.4276155361465549,0.1772963839274824
"promedio + percentiles de similitud, hasta 50 reseñas",816,0.6554733150768475,-0.009969229333353802,0.0071154578547700225,1/10,0.93024294428326,0.26,0.5917106578835696,0.0061385826316821875,0.006435347795951054,0.3859522585733945,0.431192515422527,0.17512935469682805
"percentil 75 por dimensión, todas las reseñas",768,0.6445659569023263,-0.020876587507874945,0.0068170242021381765,0/10,0.9353286745500684,0.31,0.5993733289393619,0.013801253687474535,0.006777250941545753,0.36196248940420883,0.4407254440111382,0.18173748785797889
"percentil 75 por dimensión, hasta 100 reseñas",768,0.6438310307502257,-0.021611513659975424,0.007883163173177159,0/10,0.9344476827715201,0.29,0.6003643969530263,0.01479232170113901,0.006710924510483351,0.3624951764772975,0.4433301998793609,0.17975242655570864
"percentil 95 por dimensión, hasta 50 reseñas",768,0.6387088004295699,-0.02673374398063132,0.025048397712882992,2/10,0.9303472136626805,0.22000000000000003,0.6048549219962498,0.019282846744362415,0.01735510280357623,0.3430527184980511,0.41399888303686644,0.17601102529178175
"percentil 75 por dimensión, hasta 50 reseñas",768,0.6380663988448255,-0.027376145565375744,0.012906086253846377,0/10,0.9319082876464684,0.3,0.6032769230110294,0.017704847759142116,0.0101151156399492,0.35789405897972154,0.42901316104745363,0.16462123830431555
