film_id,n_chunks,evaluada,sim · filtro · Camaradería Masculina Rancia,sim · filtro · Insoportabilidad Prolongada,sim · filtro · Control Emocional Artificial,sim · filtro · Personajes Diorama,sim · filtro · Caos Asfixiante,sim · afinidad · Resistencia Femenina,sim · afinidad · Contemplación Inmersiva,sim · afinidad · Ternura y Empatía Radical,sim · afinidad · Humanismo Social,sim · afinidad · Vanguardia y Simbolismo,sim · excepción · Camaradería Masculina Rancia,sim · excepción · Insoportabilidad Prolongada,pred · gt_afinidad_resistencia_femenina,pred · gt_afinidad_contemplación_inmersiva,pred · gt_afinidad_ternura_y_empatía_radical,pred · gt_afinidad_humanismo_social,pred · gt_afinidad_vanguardia_y_simbolismo,pred · gt_cols_camaradería_masculina_rancia,pred · gt_cols_insoportabilidad_prolongada,pred · gt_cols_control_emocional_artificial,pred · gt_cols_personajes_diorama,pred · gt_cols_caos_asfixiante,pred · gt_excepcion_camaradería_masculina_rancia,pred · gt_excepcion_insoportabilidad_prolongada,pred · gt_excepcion_control_emocional_artificial,pred · gt_excepcion_personajes_diorama,pred · gt_excepcion_caos_asfixiante,nota_lineal,nota_gemini,nota_lineal_entrenamiento,nota_lineal_cv,error_lineal_cv,nota_reglas_cv,error_reglas_cv,nota_modelo
one-battle-after-another,19,False,0.3411092943664332,0.49724218564103284,0.27104822190322664,0.315978144103629,0.5651008701180357,0.2648934993164553,0.4800252243189219,0.35836566994562447,0.2663762353170025,0.5194341647101771,0.41888222273530207,0.5509133655051989,6.602475,3.6187773,5.5508122,5.7591352,6.6565833,0.3294900198680883,2.643771865318441,5.476028415795637,1.5144340470914186,6.628332793274976,0.19808973,0.43984252,0.0,0.0,0.11894575,9.366928162641171,,,,,,,7.451377538119212
sinners,299,True,0.36149899571345356,0.5570625829306302,0.35193665693864445,0.42392626226294206,0.6084701824618113,0.24932558603406496,0.568728385301278,0.3726857030361646,0.33228080473007326,0.6089227157956256,0.4455677490390505,0.5463604700843446,6.517942,5.528994,5.941014,7.1214595,6.8699822,0.26143610946415263,2.33592948580702,3.8102003572385046,1.872050175039854,3.8018292150072215,0.20960325,0.36381957,0.0,0.0029954538,0.10994658,8.13892664906883,7.5,8.13892664906883,8.01987095374927,0.5198709537492707,8.02099026504838,0.5209902650483809,7.948387375030869
marty-supreme,15,True,0.3126169398489738,0.615539477926414,0.334879363333751,0.33549312729922826,0.5750034353732532,0.23584154563017037,0.49026922262074407,0.3819259802773827,0.25136268590615995,0.4849830843562999,0.45281788170039916,0.6037122665150406,5.467971,3.63553,4.4209743,5.976818,6.756751,0.4681007905801058,6.948110773396316,4.81791673970052,1.845888336619318,5.983837355559973,0.2642154,0.4739858,0.0,0.0,0.13808312,6.8133384815487394,5.5,6.8133384815487394,7.299615317262622,1.7996153172626217,7.334548867620272,1.8345488676202724,6.513931437165687
it-was-just-an-accident,15,False,0.37756382556854673,0.6130521163924056,0.3788493388107382,0.42862142469141484,0.6287161042055014,0.35520039470568154,0.6183649934934163,0.45549487529378446,0.34471542840209024,0.5875922218767106,0.4568693805831795,0.5997569386788285,6.817191,7.5041523,5.9017096,9.850101,8.59984,0.3196208205276826,6.187053621223484,3.1726144510078207,0.28844797986646764,4.5222828661025725,0.38359296,0.4156658,0.0,0.018173043,0.08252582,8.763759616994166,,,,,,,8.193806842437711
sentimental-value,18,False,0.32048847278816406,0.5034719386410222,0.4733602485287576,0.4240275499654179,0.5365802955321219,0.35305856264285096,0.6530454230578651,0.6268140615810984,0.4038790406220827,0.5620757497678336,0.5093663094234355,0.5563709967043118,8.499097,8.840018,10.0,8.546587,7.055178,0.03645321716554145,0.34284387918267445,6.017264390000946,1.7441871019788502,2.1656916751995587,0.0,0.27603173,0.0,0.0,0.03012029,10.270291459781099,,,,,,,9.356775342025426
the-secret-agent,17,False,0.36549265385712765,0.520989628459482,0.3825408632174427,0.463630902700062,0.644532774578616,0.2467885014522177,0.6075734441927275,0.31946523542244637,0.29267816803228053,0.6240087831837872,0.5047225608772746,0.5788283947958942,6.3191214,6.713813,5.2314024,7.453439,9.119972,0.3297274973604705,3.290930953409901,2.9109846439971143,0.6849293490836947,4.378375900544922,0.24706894,0.34041953,0.0,0.0047896584,0.07291486,8.641224180952486,,,,,,,8.39217566086892
weapons,14,False,0.3167572503322398,0.5820823568252713,0.3009569549892336,0.35030594475012583,0.6406376719693995,0.19281532706279622,0.5179365612786284,0.3159728283799486,0.2977376532230655,0.530734040407469,0.40549961376869503,0.5777898701074534,6.235051,3.297072,4.479314,5.3544655,8.649684,0.33518723155402885,5.616792314667428,2.9061325946911416,1.224448254779771,7.223967968073702,0.2923696,0.3805551,0.0,0.0,0.12948835,7.722039385463948,,,,,,,7.088067857079103
train-dreams,20,False,0.3382742248560408,0.559315013198471,0.38809891799631924,0.4491624136709216,0.5531579280871791,0.2812579887065662,0.6859716943232881,0.473279825051798,0.39517837326431055,0.6117939495899489,0.49657416081616396,0.5665026020962411,6.5766363,10.0,8.727539,8.588043,7.314538,0.34830477860348197,2.0249183943407285,3.149319510514833,3.407743974448259,0.022328713505681108,0.11768425,0.30974954,0.0,0.0,0.050110668,9.535514058107134,,,,,,,9.308808093901323
hamnet,14,False,0.33277433752279567,0.5658134547911842,0.37767148591510535,0.37225465233819605,0.5797495609995165,0.36426997101221115,0.6113515382362058,0.5093866621279443,0.319012733834338,0.557983292794765,0.4558689677099571,0.5603441081662218,8.474789,6.8224163,8.473199,7.4963646,6.5028267,0.2890902938664339,2.2540615933036947,6.850808383299173,1.8557670795085752,2.059882518098358,0.012221232,0.30543774,0.0,0.009048232,0.06668196,9.054767383796282,,,,,,,8.581011196546681
sorry-baby,13,False,0.3772932930897174,0.5405695316886655,0.4009343545615549,0.3683464365601169,0.5342601531132106,0.35754324010086047,0.5827311051227542,0.41417253567813866,0.3131309019028646,0.5034488696688648,0.4840950464660729,0.552005390501192,9.069628,5.793721,7.8333073,6.610306,6.5547833,0.30940994605262606,1.4875551787426633,1.5793681410500742,2.077329151678505,2.1233554882570775,0.030389875,0.2567474,0.0,0.00039763562,0.07064132,7.745124139106045,,,,,,,8.467012644353996
