film_id,n_chunks,evaluada,sim · filtro · Camaradería Masculina Rancia,sim · filtro · Insoportabilidad Prolongada,sim · filtro · Control Emocional Artificial,sim · filtro · Personajes Diorama,sim · filtro · Caos Asfixiante,sim · afinidad · Resistencia Femenina,sim · afinidad · Contemplación Inmersiva,sim · afinidad · Ternura y Empatía Radical,sim · afinidad · Humanismo Social,sim · afinidad · Vanguardia y Simbolismo,sim · excepción · Camaradería Masculina Rancia,sim · excepción · Insoportabilidad Prolongada,pred · gt_afinidad_resistencia_femenina,pred · gt_afinidad_contemplación_inmersiva,pred · gt_afinidad_ternura_y_empatía_radical,pred · gt_afinidad_humanismo_social,pred · gt_afinidad_vanguardia_y_simbolismo,pred · gt_cols_camaradería_masculina_rancia,pred · gt_cols_insoportabilidad_prolongada,pred · gt_cols_control_emocional_artificial,pred · gt_cols_personajes_diorama,pred · gt_cols_caos_asfixiante,pred · gt_excepcion_camaradería_masculina_rancia,pred · gt_excepcion_insoportabilidad_prolongada,pred · gt_excepcion_control_emocional_artificial,pred · gt_excepcion_personajes_diorama,pred · gt_excepcion_caos_asfixiante,nota_lineal,nota_gemini,nota_lineal_entrenamiento,nota_lineal_cv,error_lineal_cv,nota_reglas_cv,error_reglas_cv,nota_modelo
one-battle-after-another,19,False,0.8541519252400507,0.8785023561398778,0.8771989525452673,0.8543628074121373,0.8855787105305584,0.8568023817937608,0.8733232418659223,0.8619871522068809,0.8662467568737348,0.8580660878850392,0.8754924177231281,0.8886648641313556,6.8908353,3.3745432,5.155209,5.8176084,6.88043,0.6493065106468343,5.43765200017933,7.551587839564824,2.437482388545155,8.486313669095368,0.20779185,0.5012361,0.0,0.0021633515,0.2002228,7.225213497552613,,,,,,,6.78827288399587
sinners,299,True,0.863242707594848,0.8864141074324945,0.8846398888908187,0.8711592032711035,0.889993909306787,0.861307263018924,0.8829850873877789,0.8649017676361888,0.8761679541600322,0.8742944115112967,0.8861846365596235,0.8934351629380035,7.1086316,5.942341,5.9644413,7.197411,6.5288672,0.10067284835293722,1.9775483899369168,4.036197375322086,2.1714490808832982,3.306958578646472,0.13703412,0.20911328,0.0,0.006630686,0.11967059,8.219175274270619,7.5,8.219175274270619,8.271418596065642,0.7714185960656419,8.020685056028237,0.5206850560282366,8.011501849955396
marty-supreme,15,True,0.8501669401910199,0.8844573806754037,0.8763795055636687,0.8508435784432469,0.8862790307172962,0.8489095566340477,0.8650641483069235,0.8633973794817595,0.8614460163581925,0.8556556317797892,0.8740391417606639,0.8826035066906137,4.897393,2.0137172,4.359379,5.8155756,7.011746,1.1857376651342728,7.135232817437095,3.791775177280428,0.6267653132529096,8.380119186367535,0.2005927,0.31697834,0.0,0.0009788582,0.4268039,5.712564899742679,5.5,5.712564899742678,5.5645054942746235,0.06450549427462349,7.027177637615268,1.5271776376152681,6.134670640880297
it-was-just-an-accident,15,False,0.8543685439779467,0.8803169992952332,0.8800812622517642,0.8556052555687473,0.8970421909811086,0.8649781375159558,0.8802682272027235,0.8690539580950215,0.8726928976191535,0.8656776809263701,0.8738771793607049,0.8948760399666891,6.299487,5.5000744,6.044983,9.1535,8.068069,0.2933401711110799,6.245478252914237,4.783915242600495,0.0,5.949938566154085,0.374133,0.62181723,0.0,0.009230999,0.16556,8.167976186703324,,,,,,,7.992436926422928
sentimental-value,18,False,0.8610380479896135,0.8794583443388202,0.8919172941234281,0.8736580084519642,0.881597467247764,0.8704969329519057,0.8961148101841749,0.8880393955607722,0.887466698364435,0.8670831997337606,0.884940502601151,0.8924974427145851,8.668172,9.063255,9.604172,7.9654737,6.8241663,0.0,2.5739142697255,5.165978499128986,1.2800065247344306,1.364678906991848,0.0,0.23023713,0.0,0.0016012564,0.024734024,8.56343937687358,,,,,,,9.300752468411297
the-secret-agent,17,False,0.8657791980733838,0.8862157018703507,0.8953789472640336,0.8799470275455183,0.9016309783864191,0.8746864352476797,0.8932265013910126,0.8769149549414746,0.8881228171100197,0.8823620713996072,0.8966195591992026,0.9001435352020395,6.9347057,7.3172636,6.317774,7.266903,8.934251,0.17223766485038103,1.4206510675443589,2.4324084518777234,1.2940557996239508,2.732180762538004,0.19024111,0.12512943,0.0,0.0009362269,0.07579718,8.579333965218265,,,,,,,8.70250619998921
weapons,14,False,0.8486862340862342,0.8806242801014126,0.8731035206317606,0.8527560762118076,0.8925193885454219,0.8452068642869115,0.8724642238947169,0.8538661178134945,0.8633445426641314,0.8634564964631952,0.8779106180158245,0.8900967072995919,5.40604,3.1532288,3.5671394,4.6336203,8.488354,0.9312089925323879,5.04844343505159,4.560440646330953,2.2398262753105724,6.150767891875317,0.35984036,0.50631255,0.0,0.00400992,0.19086741,6.8203488873719955,,,,,,,7.006407132551404
train-dreams,20,False,0.847802078408817,0.8762976684126071,0.8803530048041426,0.8692950804324291,0.8816235761030129,0.8599179189198973,0.8857884108322913,0.8712495236192472,0.8800480653086246,0.8666729440863353,0.8803829195639981,0.8919049508950143,6.7101593,10.0,8.41437,8.6801605,8.112412,0.43284118245166886,1.6557507961602473,2.3157164988617525,2.668296432743979,0.0,0.11685223,0.28528073,0.0,0.0018929727,0.018219426,9.490695819323241,,,,,,,9.448223007711004
hamnet,14,False,0.8472495755736855,0.8777682821670785,0.8775581874219115,0.8590240923818411,0.8799798796378704,0.8614880426118146,0.877952770700754,0.8676918261068809,0.867862339717892,0.862260789377821,0.8778120908953565,0.8831049545788285,8.433972,6.323981,7.69423,7.224469,7.0194597,0.09982812105073591,2.5067807744584965,8.167292276053065,2.8903870366198294,3.9574019552174238,0.025783688,0.39081588,0.0,0.010264017,0.06651609,8.207246546401867,,,,,,,7.795730707620344
sorry-baby,13,False,0.8579476212300954,0.8792807320457492,0.8842382062122192,0.8608263586165432,0.8773752227464795,0.862682575298783,0.8760275634087525,0.8672215249498123,0.870634578268914,0.8583903019546568,0.8709352889677726,0.8805571560558234,9.309076,5.84394,7.22283,7.09298,6.754442,0.04778691244858441,2.5267632753803446,3.9121814770817647,1.3064750146857784,2.3985993747328753,0.0016707778,0.34046155,0.0,0.0,0.13579513,7.598662798924756,,,,,,,8.479876632668354
2046,452,False,0.8577610837206768,0.8827896201020627,0.8865570528799134,0.8732225874427948,0.8844775218188733,0.8697487073051715,0.8855219068192812,0.8729241451216032,0.8813905818870448,0.8744798628387658,0.8923707702807747,0.8910563486113012,7.2412705,10.0,8.517475,7.5401564,8.11127,0.44663668953953334,0.8467488942851604,1.7555009026106072,2.0621885407757525,0.1439042552213523,0.17841177,0.019017905,0.0,0.017007332,0.011456769,8.52615269582669,,,,,,,9.37390014324538
4-months-3-weeks-and-2-days,365,True,0.8708795261502813,0.8954358861101402,0.8888346050563245,0.8702384120412989,0.8938345047085361,0.8816507498537736,0.8923737194584784,0.881253965708988,0.8903926108167151,0.878370413657354,0.8937362270193063,0.898333359463894,9.032144,8.76887,7.751371,9.895881,7.9772644,0.05921739817647442,4.641086047221325,0.24374590576607758,0.0,0.8866429272195413,0.32240096,0.62083733,0.0,0.018641418,0.07272127,9.18193458894727,9.5,9.18193458894727,9.42449278297151,-0.07550721702848939,9.259129562125453,-0.24087043787454654,9.423261435153087
500-days-of-summer,279,False,0.868431718692146,0.8901650143766009,0.884454618592555,0.8678473494527341,0.8823415528002478,0.8678212364076947,0.8817553849245714,0.8783207794537311,0.8807359908164382,0.8708316449633888,0.893981874595948,0.892177240413543,7.4198494,5.5655117,8.125898,6.104912,5.340602,0.13698683778995024,3.289344454816615,2.0902955849404687,1.7509960444569697,2.2211682178892067,0.09410279,0.2817979,0.0,0.0,0.10525829,8.077569538630438,,,,,,,7.992791005117222
a-beautiful-day-in-the-neighborhood,324,True,0.8496892972061787,0.8777534146374144,0.8797048625893793,0.8606967481898289,0.8739233759753118,0.8582378165235027,0.8766496408485623,0.871385817798215,0.8726224491502672,0.8538953713244462,0.8800437774420566,0.8852310535866382,6.424834,8.083181,9.687023,8.0998,5.3307953,0.493163778004297,3.3142672577789227,3.7790068847722234,2.3189405064631803,0.14092889604465952,0.12239117,0.8371556,0.0,0.0,0.008606903,8.146333590622765,8.8,8.146333590622765,8.179954737694407,-0.6200452623055934,9.150021816541674,0.3500218165416733,8.781323655729413
a-clockwork-orange,571,False,0.8629632915208912,0.8952682193462076,0.8873554830703649,0.874122697647167,0.8916098513063269,0.8651986424723686,0.8828521801847982,0.8713016014247018,0.8850937930268278,0.8803084963570469,0.8915794609094341,0.9012964496422432,5.767354,6.5675907,5.201866,6.902339,9.468054,1.0329910385290744,5.0697731188556405,3.7967887899645287,2.4227271857944563,2.6531178587018696,0.3199817,0.4401424,0.0,0.013321145,0.08433869,8.530990082781997,,,,,,,8.126705160492312
a-place-further-than-the-universe,205,True,0.8622877026149944,0.8821109848952651,0.8810513058860682,0.8705682497331613,0.8797022872028268,0.8685393177661755,0.8868197797552502,0.8742035766845611,0.8806769991444343,0.8609941916630897,0.876108541224426,0.8820377375216073,9.421051,7.749354,9.364142,7.3552947,5.5417533,0.0,0.7437298407176405,2.5285487658378774,1.8714609753369569,1.045483923598315,0.0095998645,0.010019034,0.0,0.00082517415,0.15404186,9.15695271490788,9.2,9.15695271490788,9.026410772344276,-0.17358922765572338,8.03366101927519,-1.1663389807248095,8.91587809179806
a-woman-under-the-influence,431,True,0.8678528269707378,0.8933972446312127,0.8849557429214012,0.8697267039199116,0.8936713589147669,0.8769279641501354,0.8845988719053073,0.8786760227756341,0.880778102272934,0.8683207669589783,0.8924998804543489,0.8980100318844446,9.276636,7.0744867,8.749365,8.457263,7.7359204,0.7306566294523915,5.155607303039146,1.279179170057501,1.09178599208362,3.3523210755268544,0.12996809,0.7564965,0.0,0.01878764,0.015676346,8.442930119985538,9.8,8.442930119985538,8.158026599916276,-1.6419734000837245,8.65208978527812,-1.1479102147218807,9.002332295870554
aguirre-the-wrath-of-god,496,True,0.8595946929961351,0.8925737214593218,0.8854757321693325,0.875306312634178,0.89354601042225,0.8661570852915941,0.8817861177018025,0.8715539610852888,0.8869984685611114,0.8780838378076266,0.8877061295720168,0.8995005397095461,4.67684,8.97648,3.2771783,7.8455844,10.0,0.3899828047756263,5.968548474588035,1.6007322426795476,1.0137710403843714,1.0154968199273335,0.4927355,0.92350435,0.0,0.0122744255,0.09813525,8.627798358445688,8.5,8.627798358445688,8.656180217262943,0.15618021726294273,8.687068640674452,0.18706864067445217,8.537801969314456
