film_id,nota_modelo,nota_gemini,evaluada,nota_lineal
tokyo-story,9.791375149310142,10.0,True,9.582009126987177
taipei-suicide-story,9.759572624286998,,False,10.301854302495506
all-we-imagine-as-light,9.741606130025879,10.0,True,10.026250970032725
cleo-from-5-to-7,9.702871240133343,9.7,True,10.038427205313123
the-headless-woman,9.689221129701837,9.5,True,9.665064762424084
close-your-eyes,9.650748169025814,9.5,True,8.836225355837735
shoplifters,9.62557813657595,9.8,True,9.754286888457715
close-up,9.620968236740804,9.5,True,8.878012133908888
stalker,9.612705092315618,10.0,True,9.321432616029883
the-novelists-film,9.584198075865084,9.5,True,10.060401877443091
women-workers-leaving-the-factory,9.58134560724884,9.5,True,9.574492765996311
certain-women,9.577256640539128,10.0,True,8.991091069684222
secret-sunshine,9.576020421304866,9.6,True,9.949869614184093
persona,9.517121267538874,9.5,True,9.261982203370303
under-the-skin,9.508396817569478,,False,9.419448125520649
the-green-ray,9.506343521304533,9.8,True,9.91257339794989
love-life,9.477976847746076,9.3,True,9.35997406672755
woman-in-the-dunes,9.469095740225324,9.5,True,9.721375445152116
train-dreams,9.448223007711004,,False,9.490695819323241
vivre-sa-vie,9.439891078398116,9.5,True,9.466751315839788
the-tree-of-life,9.435568137251861,9.2,True,9.314371095092868
4-months-3-weeks-and-2-days,9.423261435153087,9.5,True,9.18193458894727
werckmeister-harmonies,9.413173101999806,10.0,True,9.00126434860095
melancholia,9.409373833842437,9.5,True,8.784615428699052
india-song,9.405544530788392,9.5,True,9.426022011619112
columbus,9.390226497319766,9.8,True,8.940873426811573
personal-shopper,9.387800229461309,9.0,True,8.628568924691798
2046,9.37390014324538,,False,8.52615269582669
portrait-of-a-young-girl-at-the-end-of-the-60s-in-brussels,9.362900329350605,8.8,True,9.144482236046501
paterson,9.359577604495806,9.8,True,9.03823247045169
the-passion-of-joan-of-arc,9.358067723874479,,False,8.639097516899298
fallen-leaves,9.341886495440713,9.5,True,8.781060820387857
bicycle-thieves,9.325541707753707,9.8,True,9.876569747643495
riceboy-sleeps,9.323767083287533,9.7,True,9.645904716791293
sentimental-value,9.300752468411297,,False,8.56343937687358
spring-summer-fall-winter-and-spring,9.30026228881212,9.0,True,10.17205921368158
the-seventh-seal,9.28541730395643,,False,10.174783711256412
in-the-mood-for-love,9.279459116442158,9.5,True,7.99298765323343
the-souvenir-part-ii,9.255628066449935,9.6,True,9.584000534494072
ghost-in-the-shell,9.25492107379854,9.0,True,9.115520720771555
little-forest-summer-autumn,9.230153756385878,9.5,True,9.542639356070811
the-disciple,9.223061153251017,8.8,True,8.625733499368067
the-girl-with-the-needle,9.220369924998502,9.0,True,9.569779325982346
happy-together,9.214324120538706,,False,9.146668141012645
viola,9.203975181764497,9.4,True,8.672436572670378
neon-genesis-evangelion-the-end-of-evangelion,9.202821796555247,9.8,True,9.03175649763735
chungking-express,9.153702949141277,,False,8.500938868058597
raise-the-red-lantern,9.11873156526154,9.2,True,8.783374148202004
anne-of-green-gables,9.083107626337924,9.8,True,9.123974364722903
neon-genesis-evangelion,9.079005415422845,,False,8.96902663966908
norte-the-end-of-history,9.067181464269249,9.6,True,9.673841593938189
pacifiction,9.027321854672861,9.0,True,8.66401243439465
portrait-of-a-lady-on-fire,9.027147332526631,,False,8.79879885150957
killers-of-the-flower-moon,9.02348362824828,9.5,True,8.454752841270514
a-woman-under-the-influence,9.002332295870554,9.8,True,8.442930119985538
zama,8.98794256991027,9.5,True,9.318469730280816
extraordinary-stories,8.985243523099467,8.5,True,8.711066063448591
ran,8.969624772354148,9.0,True,8.994811786847542
the-bitter-tears-of-petra-von-kant,8.965975887400294,8.2,True,9.333726447116693
happy-go-lucky,8.94950718629172,9.0,True,8.498453713093863
rara,8.945316552274518,8.8,True,9.371941801834094
a-place-further-than-the-universe,8.91587809179806,9.2,True,9.15695271490788
her,8.914479253754433,8.2,True,8.116101534075828
lady-bird,8.911216719588307,,False,8.74407472219133
godzilla,8.910808076577567,,False,7.230776942258904
crouching-tiger-hidden-dragon,8.900342637772711,9.5,True,8.223355614125131
the-master,8.885003773971832,9.3,True,8.681250435347032
