fraccion,n_entrenamiento,semilla,rho,mae
0.25,20,0,0.4761325948114415,0.6593532741105355
0.25,20,1,0.5110635469809995,0.6546212059909553
0.25,20,2,0.389739244039021,0.7527623913376529
0.25,20,3,0.3586088263133931,0.7481181075960748
0.25,20,4,0.5178682018713644,0.740434005834045
0.25,20,5,0.4275396289936726,0.7207389795149772
0.25,20,6,0.5139095558249903,0.7429085574298238
0.25,20,7,0.4869076077187318,0.7471076085146698
0.25,20,8,0.4367218139059721,0.8211154901091526
0.25,20,9,0.4117928845873119,0.7169817414614105
0.5,40,0,0.6517067453475165,0.5934254889141568
0.5,40,1,0.4869251756745589,0.7154685701177727
0.5,40,2,0.5998637077017334,0.5942512542532555
0.5,40,3,0.6210389504586689,0.6036181833619393
0.5,40,4,0.6658489497883349,0.6188204177162681
0.5,40,5,0.5278643687369864,0.6648979029350307
0.5,40,6,0.6485562252691891,0.6148734547951484
0.5,40,7,0.5960631732578031,0.6230015572807943
0.5,40,8,0.5627367610537873,0.6968775152407507
0.5,40,9,0.6112008951954909,0.6314102448201641
0.75,61,0,0.6836160091148127,0.5986843756817622
0.75,61,1,0.6398717991053242,0.5858656710962802
0.75,61,2,0.6306720462371975,0.6359557935331287
0.75,61,3,0.6589037512513534,0.5883779656800578
0.75,61,4,0.7146937229729591,0.5749947600664639
0.75,61,5,0.6612578573321852,0.5913909939594129
0.75,61,6,0.6325225375843192,0.6410344380948962
0.75,61,7,0.621548421177655,0.5788304940826983
0.75,61,8,0.6610470418622599,0.6062269033516869
0.75,61,9,0.5861021423038353,0.6306826835081374
1.0,81,0,0.6758568286245085,0.6094421964408703
1.0,81,1,0.6585992400170168,0.5816100184432937
1.0,81,2,0.6300337438421462,0.6189931662594736
1.0,81,3,0.65002607757339,0.6015110335598323
1.0,81,4,0.7080061877881082,0.5658087127126342
1.0,81,5,0.6705864418763773,0.5950057754153608
1.0,81,6,0.660496579246344,0.5762299633601662
1.0,81,7,0.739845179732096,0.5374826596833339
1.0,81,8,0.7001650235039443,0.578283161697163
1.0,81,9,0.6598758448071196,0.5745379474856076
