film_id,nota_gemini,nota_cv
in-the-mood-for-love,9.5,8.984880435520305
kikis-delivery-service,8.5,8.792585023365636
persona,9.5,9.535004901951256
close-up,9.5,9.444600231500338
memories-of-murder,8.0,8.970655779093306
stalker,10.0,9.441950611025979
a-woman-under-the-influence,9.8,8.878093148300142
barry-lyndon,6.5,8.674259617680242
before-sunset,8.5,8.905702745387671
mommy,8.5,8.860325234219868
the-celebration,8.5,8.410782530569156
shoplifters,9.8,9.661237060565792
happy-go-lucky,9.0,8.803736651433734
portrait-of-a-young-girl-at-the-end-of-the-60s-in-brussels,8.8,9.300581197748997
mulholland-drive,9.2,8.585715450648003
4-months-3-weeks-and-2-days,9.5,9.546728371678798
tokyo-story,10.0,9.74034409291068
poor-things,8.0,8.254184278513389
emma,6.5,7.3522246267149685
cleo-from-5-to-7,9.7,9.532743723167181
the-power-of-the-dog,8.5,8.542711457771027
the-bitter-tears-of-petra-von-kant,8.2,9.35073723683901
blue-is-the-warmest-color,8.0,7.9720630130916685
the-headless-woman,9.5,9.874267652257071
india-song,9.5,9.286142590704312
vivre-sa-vie,9.5,9.305153449905067
certain-women,10.0,9.16298378772996
raise-the-red-lantern,9.2,9.173457672126492
daisies,8.8,8.451020909190124
arrival,8.8,8.63677790476181
mad-max-fury-road,8.5,8.086775083714937
ghost-in-the-shell,9.0,9.179027362019244
the-worst-person-in-the-world,8.8,8.578338083748681
killers-of-the-flower-moon,9.5,8.680618457193543
her,8.2,8.754248471865399
beauty-and-the-beast,6.0,7.688300658143251
primer,6.5,8.558193878638262
little-white-dove,8.5,8.506591050140624
once-upon-a-time-in-hollywood,8.5,8.46375408121915
oldboy,7.5,8.171734308009349
the-souvenir-part-ii,9.6,8.93730386501549
the-fallout,8.8,8.728938478766498
disobedience,8.5,8.968219443027326
ema,8.0,8.137736285089662
rara,8.8,9.073823427331233
zama,9.5,8.699676380768603
amelie,4.5,8.446080031393596
the-assassination-of-jesse-james-by-the-coward-robert-ford,8.5,8.085391538603306
columbus,9.8,9.38702695192681
little-forest-summer-autumn,9.5,9.308463815715596
the-novelists-film,9.5,9.31374793038358
spring-summer-fall-winter-and-spring,9.0,9.485775199962395
close-your-eyes,9.5,9.669042632087608
manhattan,5.0,8.320223407011591
aguirre-the-wrath-of-god,8.5,8.729895230213582
melancholia,9.5,9.278122492435134
paterson,9.8,9.041659751346721
personal-shopper,9.0,9.360228569674602
the-green-ray,9.8,9.36622991481008
the-tree-of-life,9.2,9.274685454921315
ran,9.0,9.000506585480741
the-disciple,8.8,9.333785810974975
do-not-expect-too-much-from-the-end-of-the-world,9.2,8.700461590899687
extraordinary-stories,8.5,9.098221317659448
pacifiction,9.0,8.93437774452292
werckmeister-harmonies,10.0,9.165786528294154
winter-sleep,9.2,8.907386770894492
viola,9.4,8.90767608342774
la-la-land,5.5,7.997903171420182
cha-cha-real-smooth,8.5,7.9087926508550535
coraline,8.8,7.781364309574488
jurassic-park,7.5,7.799429373116172
blade-runner,8.5,8.632447656291994
the-royal-tenenbaums,6.8,8.439345708725066
triangle-of-sadness,7.0,8.087837085846571
rocky,9.2,7.925819900998905
crouching-tiger-hidden-dragon,9.5,8.48593789037041
psycho,8.0,8.010716614641094
the-master,9.3,8.703654135358688
neon-genesis-evangelion-the-end-of-evangelion,9.8,8.907122793908677
secret-sunshine,9.6,9.704110696129579
bicycle-thieves,9.8,9.00596947698932
fallen-leaves,9.5,8.972805641715585
a-beautiful-day-in-the-neighborhood,8.8,8.88228507794218
woman-in-the-dunes,9.5,9.411263266958722
paju,9.2,8.448672922794518
all-we-imagine-as-light,10.0,9.542146248905034
gueros,8.5,8.545754314657227
anne-of-green-gables,9.8,8.698065480587015
monos,8.0,8.833493881341598
norte-the-end-of-history,9.6,8.927413642983613
women-workers-leaving-the-factory,9.5,9.657858097190832
the-girl-with-the-needle,9.0,9.032141837905632
sinners,7.5,8.023622774869672
hal-harper,8.8,9.003670004413006
riceboy-sleeps,9.7,9.185123646093917
the-testament-of-ann-lee,8.6,8.474978345668537
mississippi-masala,9.0,8.623605808745733
a-place-further-than-the-universe,9.2,8.596332546935653
love-life,9.3,9.621829009708673
marty-supreme,5.5,6.906610747166548
