representacion,dimensiones,ρ Spearman,Δ ρ,desv. Δ ρ,mejora ρ,NDCG@10,Precisión@10,MAE,Δ MAE,desv. Δ MAE,R²,R² etapa 1 afinidades,R² etapa 1 filtros
"percentil 50 por dimensión, hasta 100 reseñas",768,0.6675348879492093,0.0004919027631589245,0.0043483546274833956,6/10,0.9365889015700098,0.3,0.5862028367599706,0.0026512468854903324,0.0035302186233116145,0.38869499756265047,0.44888720030873924,0.1843215848015805
"percentil 50 por dimensión, todas las reseñas",768,0.667209880766408,0.00016689558035757335,0.004258984234125782,5/10,0.9367304698011623,0.3,0.5855405846905067,0.001988994816026346,0.0037075902258194276,0.387277596169041,0.44680299478146157,0.1857740643512043
"promedio, todas las reseñas",768,0.6670429851860504,0.0,0.0,referencia,0.9381628484768594,0.29,0.5835515898744803,0.0,0.0,0.3898468545593153,0.4491532142364769,0.19141663462615188
"percentil 90 por dimensión, todas las reseñas",768,0.6669194238967331,-0.0001235612893172644,0.013285067347543627,5/10,0.9309246244198623,0.24,0.5851190640024917,0.0015674741280113814,0.008658643906848569,0.38943411742346934,0.45756039979405755,0.18812488839740243
"promedio, hasta 100 reseñas",768,0.6668134305632429,-0.00022955462280742632,0.0021739158223337694,4/10,0.9385607468044507,0.29,0.5847745420402104,0.0012229521657300846,0.0010789462157953596,0.39024405932953127,0.4507895159039004,0.18964658753870417
"percentil 90 por dimensión, hasta 100 reseñas",768,0.6668093313735499,-0.00023365381250047834,0.013936892403352694,5/10,0.9327474897885679,0.25,0.5861973254892637,0.0026457356147834288,0.008408174993305217,0.3887001041004142,0.4595634379935881,0.18613234057534284
"percentil 90 por dimensión, hasta 50 reseñas",768,0.661226820610224,-0.005816164575826455,0.016914248393603226,4/10,0.9368646793638751,0.26,0.5938570903099716,0.010305500435491288,0.010992355335507756,0.37024933034413327,0.4353480609335107,0.16677035223752326
"percentil 95 por dimensión, hasta 100 reseñas",768,0.6600240012345948,-0.007018983951455515,0.00997166684301908,3/10,0.9393212322261192,0.24,0.5906284064922427,0.007076816617762327,0.009412491693456542,0.3672103421864227,0.44159972888701987,0.1849722824666229
"promedio + percentiles de similitud, todas las reseñas",816,0.6599660269803655,-0.007076958205684947,0.005417811695902441,0/10,0.9383196622864215,0.27999999999999997,0.5845186372610838,0.0009670473866034923,0.002740201419673487,0.3904773921076337,0.4492249491473025,0.18924262535819264
"percentil 95 por dimensión, todas las reseñas",768,0.6597903474220945,-0.00725263776395596,0.009521040202836778,3/10,0.938306581290432,0.25,0.5895052469421613,0.005953657067680984,0.009959337728950335,0.36818341827301654,0.4403184612611416,0.1867861292243697
"promedio + percentiles de similitud, hasta 100 reseñas",816,0.6596913812709351,-0.007351603915115324,0.005572088342592925,1/10,0.937836056948478,0.29,0.5856732785596769,0.0021216886851965653,0.0027031630249902154,0.39125575512503513,0.4507032643157943,0.18714142089524066
"percentil 50 por dimensión, hasta 50 reseñas",768,0.6595801175506968,-0.00746286763535362,0.006147855071699629,1/10,0.9248650755243952,0.27999999999999997,0.5950277462655595,0.011476156391079207,0.009331331928783805,0.3771190420082931,0.4236571762498252,0.16902175081481938
"promedio, hasta 50 reseñas",768,0.659285561491329,-0.0077574236947214326,0.006798267339736653,1/10,0.9280997968607607,0.27,0.5915549175500862,0.008003327675605808,0.007049750036206315,0.3820061425552164,0.4276155361465549,0.1772963839274824
"promedio + percentiles de similitud, hasta 50 reseñas",816,0.6571815059817696,-0.009861479204280854,0.008079883736838942,1/10,0.9317294660819135,0.26,0.5898576544017444,0.006306064527264043,0.007060318982834081,0.3869536401522185,0.43119248975097113,0.1751293172332774
"percentil 75 por dimensión, todas las reseñas",768,0.6473873706081592,-0.019655614577891233,0.007299800466766624,0/10,0.935221005379324,0.3,0.5978017800055442,0.014250190131063855,0.006724344833819543,0.36359613877059915,0.4407254440111382,0.18173748785797889
"percentil 75 por dimensión, hasta 100 reseñas",768,0.646709247513233,-0.02033373767281742,0.008668474190617245,0/10,0.9360939139541122,0.3,0.5988801250099897,0.015328535135509391,0.006779659998179093,0.3639213843472559,0.4433301998793609,0.17975242655570864
"percentil 95 por dimensión, hasta 50 reseñas",768,0.639031465218261,-0.028011519967789344,0.02621898302272513,2/10,0.9305293784644654,0.22000000000000003,0.60426191255056,0.020710322676079695,0.018008489117536438,0.34359296020357527,0.41399888303686644,0.17601102529178175
"percentil 75 por dimensión, hasta 50 reseñas",768,0.6386309158254031,-0.02841206936064734,0.012515826235618853,0/10,0.9321526987969495,0.31,0.6017235798362363,0.018171989961755917,0.010081761418727967,0.35876730626266745,0.42901316104745363,0.16462123830431555
