representacion,dimensiones,ρ Spearman,Δ ρ,desv. Δ ρ,mejora ρ,NDCG@10,Precisión@10,MAE,Δ MAE,desv. Δ MAE,R²,R² etapa 1 afinidades,R² etapa 1 filtros
"promedio + percentiles de similitud, hasta 100 reseñas",816,0.651468992345323,0.007646159974483124,0.003143125566367103,10/10,0.9363737935585723,0.31,0.5960230567863505,-0.003746172506157308,0.0033821039639440145,0.36640758870055024,0.4106659543801275,0.12318211445732215
"promedio + percentiles de similitud, todas las reseñas",816,0.6513975493249594,0.0075747169541195425,0.0033272433434640395,10/10,0.9365462861992585,0.31,0.5952742524959349,-0.00449497679657287,0.0030074801900999214,0.36578796907933714,0.40881271069616165,0.1234756712655729
"percentil 75 por dimensión, hasta 100 reseñas",768,0.6501437828774318,0.006320950506591894,0.00497017065429484,9/10,0.9383310158353547,0.27,0.5956986944716183,-0.004070534820889471,0.0056064997254423295,0.37484323364973626,0.412552828142237,0.1277750718899937
"percentil 75 por dimensión, todas las reseñas",768,0.6499435081810028,0.006120675810162934,0.004984368765490415,9/10,0.9390086301242689,0.27999999999999997,0.5933543212464059,-0.006414908046101886,0.004509132196636187,0.3760395223089633,0.4115948516238772,0.12756563359467324
"promedio, todas las reseñas",768,0.6438228323708398,0.0,0.0,referencia,0.9358866297676887,0.26,0.5997692292925078,0.0,0.0,0.3615462338844685,0.4008120469585876,0.11871133850517364
"percentil 50 por dimensión, todas las reseñas",768,0.64367818953453,-0.00014464283630980513,0.005908861673298891,5/10,0.9327700028830787,0.26,0.5980145604867737,-0.0017546688057341274,0.0034655445010937265,0.3651524667707065,0.40184834464503794,0.12113838410028417
"promedio, hasta 100 reseñas",768,0.6429245242295473,-0.0008983081412925586,0.003693215156681374,3/10,0.9357629118642411,0.26,0.6008102486896664,0.0010410193971585157,0.0026564483553288823,0.3617473600027899,0.4026844662030224,0.11828397934383991
"percentil 50 por dimensión, hasta 100 reseñas",768,0.6422592843022276,-0.0015635480686122638,0.006319152922965438,4/10,0.9334327867119969,0.27,0.5996633463479653,-0.00010588294454247916,0.004719200807040245,0.3647410933223973,0.4037116429618191,0.12091807458662077
"percentil 75 por dimensión, hasta 50 reseñas",768,0.6389939869124965,-0.004828845458343267,0.010784626155315235,3/10,0.9306693499733619,0.29,0.5997837278226523,1.4498530144546607e-05,0.007988639489692525,0.35466085556474275,0.4020043640610438,0.11611466726804283
"percentil 90 por dimensión, hasta 100 reseñas",768,0.638813622566005,-0.005009209804834869,0.010413654780044223,5/10,0.9367581132503066,0.29,0.6026002660328269,0.002831036740319026,0.007532921812871541,0.3562336083316581,0.4064931382399746,0.1268921555248242
"percentil 90 por dimensión, todas las reseñas",768,0.6380218933567302,-0.005800939014109685,0.010921633623502671,4/10,0.937901401380157,0.3,0.6015400899427048,0.0017708606501970036,0.007108427206324221,0.3554655922177516,0.40400886064842245,0.1268751292613147
"percentil 95 por dimensión, todas las reseñas",768,0.6356917968155287,-0.008131035555311184,0.010389107000329781,3/10,0.9436565564300959,0.37,0.5992898734256461,-0.00047935586686166377,0.008184912159190323,0.33658870967084875,0.39046165665514104,0.129431532390897
"percentil 95 por dimensión, hasta 100 reseñas",768,0.6355828754894006,-0.008239956881439237,0.009172944159485262,2/10,0.9416182124091769,0.35,0.5991169068209674,-0.0006523224715403897,0.008142377299683378,0.33694399956084126,0.39185149616698134,0.1292949336094874
"promedio + percentiles de similitud, hasta 50 reseñas",816,0.6335496774016771,-0.010273154969162724,0.016190093713840958,2/10,0.9303709316174817,0.3,0.6047928975715082,0.005023668279000438,0.007549018917818239,0.34284639008876516,0.4028998034335423,0.11318530745937187
"percentil 50 por dimensión, hasta 50 reseñas",768,0.6326730364059047,-0.011149795964935205,0.014791556792744125,3/10,0.933792306032851,0.3,0.5998723540010064,0.00010312470849851429,0.010183126102697192,0.3501828386462667,0.3977037348066331,0.10964829276028268
"promedio, hasta 50 reseñas",768,0.6267245265628473,-0.017098305807992542,0.012495233592773484,1/10,0.9314338230586088,0.29,0.608111477862584,0.00834224857007626,0.006919802485587486,0.3413519493555316,0.3956273443255271,0.10566577983346041
"percentil 90 por dimensión, hasta 50 reseñas",768,0.6242480303897533,-0.019574801981086576,0.020639878661502978,2/10,0.9318819583091926,0.32999999999999996,0.6097672782384924,0.009998048945984639,0.007893411511660061,0.33460516035998034,0.3938561618384763,0.12357410991241487
"percentil 95 por dimensión, hasta 50 reseñas",768,0.6176067574885804,-0.026216074882259365,0.02492991474260676,2/10,0.9288637820169756,0.33999999999999997,0.6204058607114173,0.02063663141890958,0.009612572547404339,0.30096311528395836,0.3758106141691543,0.11193260283605985
