date        , rating, review_text                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , film_id                 , film_title                     , director
25 Sep 2025 ,    5.0, "Grips you from the first minute and refuses to let go. Whether youre struck with fear by the ever-relevant depictions of militarized violence, or youre laughing at the hundredth dadfailure Leo moment, youre in for an absolutely unforgettable time at the movies. I seriously feel bad for every other film that comes out this year."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , one-battle-after-another, One Battle After Another (2025), Paul Thomas Anderson
26 Sep 2025 ,    5.0, "a three-hour-long panic attack starring leonardo dicaprio as the big lebowski and sean penn as satan. a dystopian drama where the ruined world isnt one of fiction, but the one we already live in. yet even though hell is here, hope never left. its hereditary, passed from generation to generation alongside the baggage they saddle us with - the lone silver lining they leave behind, but one strong enough to beat back all the other bullshit.
                      never forget that that silver lining lives on in each of us, because this fight never ends - it only evolves. and now, were on the frontlines.
                      viva la revolución."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , one-battle-after-another, One Battle After Another (2025), Paul Thomas Anderson
08 Oct 2025 ,    0.0, "feel like i havent watched a film in aaaaages coz of being on honeymoon and being in paris and having a weird body clock at the moment where im just sort of up all hours of the day working but i finally went to see the pta in paris with finn after being in the studio. it was literally the hottest theatre ive ever been to which just sort of added to the stress but yeah this was super cool and everyone came through with big big swings in their performances which i love and i feel we need more of in general. teyana and chase were on fire, leos timing killssssss me hes so damn funny and i think im beginning to realize that i am just obsessed with benicio. honorable mention to sean penns physicality! nice to watch a movie again!"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , one-battle-after-another, One Battle After Another (2025), Paul Thomas Anderson
24 Sep 2025 ,    1.0, what a mess. you know when the movie has a Fortnite tie-in event its only using revolution as an aesthetic. Im sure the people getting kidnapped in ICE raids right now are glad PTA got 100 million dollars to make this movie where their plight is the backdrop for a Leo DiCaprio action comedy.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , one-battle-after-another, One Battle After Another (2025), Paul Thomas Anderson
17 Sep 2025 ,    5.0, "Completely fucking mad. The real deal. A wonderful fatherdaughter espionage thriller, kind of THE generation-defining blockbuster. A non-stop trip characterised by many howl-inducing comedic lines (I was fucking crying with laughter at points) and a blistering assessment of the oppressive underworld swallowing modern America. This will be looked back on as miles ahead of its years in decades to come. Defies all cinematic logic in that it barely takes a single breath yet never feels like there is too much going on - like being continuously punched in the face but still craving more. Miracle how this works as well as it does! Full of energy. dominated by entirely opposite extremes of the spectrum, pulling for long-past periods. Sean Penn is wickedly evil, and there arent many DiCaprio performances I would choose over this one. Seriously though, Sean Penn is unbelievable. Im still on edge an hour after watching. Inject it! The best of the year! Cloud nine."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , one-battle-after-another, One Battle After Another (2025), Paul Thomas Anderson
28 Sept 2025,    0.5, This has got to be the worst depiction of DNA Gel Electrophoresis I have ever seen in a movie.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , one-battle-after-another, One Battle After Another (2025), Paul Thomas Anderson
17 Sep 2025 ,    5.0, "Until his monumental new film, Paul Thomas Anderson had only made a single narrative feature set in the 21st century, and that movie  a love story about a plunger salesman who hoards pudding cups, gets extorted by the owner of a phone sex line, and shares an iconic kiss to the sound of a Shelley Duvall song from 1980  was less of its time than out of it. After that came an origin story about the birth of American capitalism, two post-war fables about people trying to sow their own visions of the future, a patchouli-scented lament for the lost promise of 60s counterculture, and a star-crossed romance set against the 1973 oil crisis."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , one-battle-after-another, One Battle After Another (2025), Paul Thomas Anderson
23 Sep 2025 ,    4.5, "For a long time now a few of us have said we prefer Coke Kid PTA to Weed Dad PTA, and have held some hope that the former might return for one last shot. Instead, here Anderson miraculously manages to synthesize those two hearts into something both truly unexpected and characteristically idiosyncratic. Undeniably vital, deliberately silly, deeply sincere."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , one-battle-after-another, One Battle After Another (2025), Paul Thomas Anderson
30 Sep 2025 ,    0.5, I havent been so offended by a movie in a long time. This is disgraceful. It doesnt surprise me to see the general public heap praise on this movie but Im stunned by the number of leftists I see raving about this. Maybe thats just a reminder of how far gone the American left is. My goodness. The way Black women were portrayed in this made me ill. Teyana Taylor was reduced to the worst of Hollywoods caricature of Black Women. An oversexed jezebel who cant even so much as finish a revolutionary mission without quenching her thirst for the White man. The inclusion of JunglePussy ( I know shes a rapper so Trader Joes thats a bop) felt intentional given how this whole thing portrayed Black Women. I mean come on the name JunglePussy are you kidding me??                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , one-battle-after-another, One Battle After Another (2025), Paul Thomas Anderson
23 Sep 2025 ,    2.5, "Pretty bummed about this one. The performances are strong  its beautifully shot, but I cant get over how meandering and never-ending it all felt. Genuinely moves at a snails pace. To me, the movie never fully commits to its ideas of revolutionmaking meaningful change in society. Honestly, the whole film came off as performative. "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , one-battle-after-another, One Battle After Another (2025), Paul Thomas Anderson
