Película,film_slug,Rancia,Insoport.,Control,Diorama,Caos,Resist. Fem.,Contemp.,Ternura,Humanismo,Vanguardia,Global
1. In the Mood for Love,in-the-mood-for-love,0,0,2,1,0,8,10,9,7,8,9.5
2. Kiki's Delivery Service,kikis-delivery-service,0,0,0,0,0,9,8,10,7,4,8.5
3. Persona,persona,0,2,0,0,0,10,9,6,8,10,9.5
4. Close-Up,close-up,0,0,0,0,0,5,9,10,10,9,9.5
5. Memories of Murder,memories-of-murder,2*,5,2,0,2,6,7,8,9,7,8
6. Stalker,stalker,0,2,0,0,0,6,10,9,8,10,10
7. A Woman Under the...,a-woman-under-the-influence,2,7*,0,0,4,10,7,10,9,8,9.8
8. Barry Lyndon,barry-lyndon,3,5,7,8,0,5,9,3,6,8,6.5
9. Before Sunset,before-sunset,0,0,0,0,0,9,8,9,7,6,8.5
10. Mommy,mommy-2014,0,8*,4,0,6,9,5,9,8,8,8.5
11. The Celebration,the-celebration,0,7*,0,0,5,7,5,7,9,9,8.5
12. Shoplifters,shoplifters,0,0,0,0,0,9,9,10,10,6,9.8
13. Happy-Go-Lucky,happy-go-lucky,0,3*,0,0,0,9,7,10,9,5,9
14. Portrait of a Young...,portrait-of-a-young-girl-at-the-end-of-the-60s-in-brussels,0,0,0,0,0,9,9,8,7,8,8.8
15. Mulholland Drive,mulholland-drive,0,0,2,2,3,8,8,7,6,10,9.2
"16. 4 Months, 3 Weeks...",4-months-3-weeks-and-2-days,0*,8*,0,0,0,10,9,8,10,7,9.5
17. Tokyo Story,tokyo-story,0,0,0,0,0,8,10,10,9,8,10
18. Poor Things,poor-things-2023,0,4*,6,8,4,10,4,5,5,8,8
19. Emma.,emma-2020,0,4*,7,8,2,8,3,5,4,4,6.5
20. Cléo from 5 to 7,cleo-from-5-to-7,0,0,0,0,0,10,9,9,8,9,9.7
21. The Power of the Dog,the-power-of-the-dog,0*,7*,2,1,0,6,9,7,8,7,8.5
22. The Bitter Tears of...,the-bitter-tears-of-petra-von-kant,0,8*,6,7,0,8,8,5,7,9,8.2
23. Blue Is the Warmest...,blue-is-the-warmest-color,0,0,0,0,2,8,8,8,8,6,8
24. The Headless Woman,the-headless-woman,0,2,0,0,0,7,10,6,9,9,9.5
25. India Song,india-song,0,0,2,4,0,8,10,7,6,10,9.5
26. Vivre Sa Vie,vivre-sa-vie,0,0,0,0,0,9,8,8,9,9,9.5
27. Certain Women,certain-women,0,0,0,0,0,10,10,10,10,7,10
28. Raise the Red Lantern,raise-the-red-lantern,0*,0,4,6*,0,9,8,7,9,7,9.2
29. Daisies,daisies,0,3,0,0,8*,10,2,6,6,10,8.8
30. Arrival,arrival-2016,0,0,5,3,0,9,7,9,8,6,8.8
31. Mad Max: Fury Road,mad-max-fury-road,0,0,2,0,7*,10,2,7,6,8,8.5
33. Ghost in the Shell,ghost-in-the-shell,0,0,0,0,0,8,9,6,7,10,9
34. The Worst Person...,the-worst-person-in-the-world,0,3,0,0,0,9,8,9,8,6,8.8
35. Killers of the Flower...,killers-of-the-flower-moon,0,6*,0,0,0,10,9,8,10,7,9.5
37. Her,her,0,3,4,4,0,8,8,9,7,7,8.2
38. Beauty and the Beast,beauty-and-the-beast-1991,0,6*,7,5,0,7,2,6,4,2,6
39. Primer,primer,0,5,0,0,7*,0,3,1,4,9,6.5
40. Little White Dove,little-white-dove,2,0,0,0,3,7,8,7,9,8,8.5
32. Once Upon a Time...,once-upon-a-time-in-hollywood,0*,3,3,4,0,4,8,9,7,6,8.5
36. Oldboy,oldboy,0*,4,6,2,6,2,3,2,4,10,7.5
41. The Souvenir: Part II,the-souvenir-part-ii,0,2,1,2,0,10,9,9,7,8,9.6
