film_id,film_title,gt_cols_camaradería_masculina_rancia,gt_excepcion_camaradería_masculina_rancia,gt_cols_insoportabilidad_prolongada,gt_excepcion_insoportabilidad_prolongada,gt_cols_control_emocional_artificial,gt_excepcion_control_emocional_artificial,gt_cols_personajes_diorama,gt_excepcion_personajes_diorama,gt_cols_caos_asfixiante,gt_excepcion_caos_asfixiante,gt_afinidad_resistencia_femenina,gt_afinidad_contemplación_inmersiva,gt_afinidad_ternura_y_empatía_radical,gt_afinidad_humanismo_social,gt_afinidad_vanguardia_y_simbolismo,gt_nota_global
in-the-mood-for-love,1. In the Mood for Love,0,0.0,0,0.0,2,0.0,1,0.0,0,0.0,8,10,9,7,8,9.5
kikis-delivery-service,2. Kiki's Delivery Service,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,8,10,7,4,8.5
persona,3. Persona,0,0.0,2,0.0,0,0.0,0,0.0,0,0.0,10,9,6,8,10,9.5
close-up,4. Close-Up,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,9,10,10,9,9.5
memories-of-murder,5. Memories of Murder,2,1.0,5,0.0,2,0.0,0,0.0,2,0.0,6,7,8,9,7,8.0
stalker,6. Stalker,0,0.0,2,0.0,0,0.0,0,0.0,0,0.0,6,10,9,8,10,10.0
a-woman-under-the,7. A Woman Under the...,2,0.0,7,1.0,0,0.0,0,0.0,4,0.0,10,7,10,9,8,9.8
barry-lyndon,8. Barry Lyndon,3,0.0,5,0.0,7,0.0,8,0.0,0,0.0,5,9,3,6,8,6.5
before-sunset,9. Before Sunset,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,8,9,7,6,8.5
mommy,10. Mommy,0,0.0,8,1.0,4,0.0,0,0.0,6,0.0,9,5,9,8,8,8.5
the-celebration,11. The Celebration,0,0.0,7,1.0,0,0.0,0,0.0,5,0.0,7,5,7,9,9,8.5
shoplifters,12. Shoplifters,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,9,10,10,6,9.8
happy-go-lucky,13. Happy-Go-Lucky,0,0.0,3,1.0,0,0.0,0,0.0,0,0.0,9,7,10,9,5,9.0
portrait-of-a-young,14. Portrait of a Young...,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,9,8,7,8,8.8
mulholland-drive,15. Mulholland Drive,0,0.0,0,0.0,2,0.0,2,0.0,3,0.0,8,8,7,6,10,9.2
4-months-3-weeks,"16. 4 Months, 3 Weeks...",0,1.0,8,1.0,0,0.0,0,0.0,0,0.0,10,9,8,10,7,9.5
tokyo-story,17. Tokyo Story,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,10,10,9,8,10.0
poor-things,18. Poor Things,0,0.0,4,1.0,6,0.0,8,0.0,4,0.0,10,4,5,5,8,8.0
emma,19. Emma.,0,0.0,4,1.0,7,0.0,8,0.0,2,0.0,8,3,5,4,4,6.5
cléo-from-5-to-7,20. Cléo from 5 to 7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,9,9,8,9,9.7
the-power-of-the-dog,21. The Power of the Dog,0,1.0,7,1.0,2,0.0,1,0.0,0,0.0,6,9,7,8,7,8.5
the-bitter-tears-of,22. The Bitter Tears of...,0,0.0,8,1.0,6,0.0,7,0.0,0,0.0,8,8,5,7,9,8.2
blue-is-the-warmest,23. Blue Is the Warmest...,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0,8,8,8,8,6,8.0
the-headless-woman,24. The Headless Woman,0,0.0,2,0.0,0,0.0,0,0.0,0,0.0,7,10,6,9,9,9.5
india-song,25. India Song,0,0.0,0,0.0,2,0.0,4,0.0,0,0.0,8,10,7,6,10,9.5
vivre-sa-vie,26. Vivre Sa Vie,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,8,8,9,9,9.5
certain-women,27. Certain Women,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,10,10,10,7,10.0
raise-the-red-lantern,28. Raise the Red Lantern,0,1.0,0,0.0,4,0.0,6,1.0,0,0.0,9,8,7,9,7,9.2
daisies,29. Daisies,0,0.0,3,0.0,0,0.0,0,0.0,8,1.0,10,2,6,6,10,8.8
arrival,30. Arrival,0,0.0,0,0.0,5,0.0,3,0.0,0,0.0,9,7,9,8,6,8.8
mad-max-fury-road,31. Mad Max: Fury Road,0,0.0,0,0.0,2,0.0,0,0.0,7,1.0,10,2,7,6,8,8.5
ghost-in-the-shell,33. Ghost in the Shell,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,9,6,7,10,9.0
the-worst-person,34. The Worst Person...,0,0.0,3,0.0,0,0.0,0,0.0,0,0.0,9,8,9,8,6,8.8
killers-of-the-flower,35. Killers of the Flower...,0,0.0,6,1.0,0,0.0,0,0.0,0,0.0,10,9,8,10,7,9.5
her,37. Her,0,0.0,3,0.0,4,0.0,4,0.0,0,0.0,8,8,9,7,7,8.2
beauty-and-the-beast,38. Beauty and the Beast,0,0.0,6,1.0,7,0.0,5,0.0,0,0.0,7,2,6,4,2,6.0
primer,39. Primer,0,0.0,5,0.0,0,0.0,0,0.0,7,1.0,0,3,1,4,9,6.5
little-white-dove,40. Little White Dove,2,0.0,0,0.0,0,0.0,0,0.0,3,0.0,7,8,7,9,8,8.5
once-upon-a-time,32. Once Upon a Time...,0,1.0,3,0.0,3,0.0,4,0.0,0,0.0,4,8,9,7,6,8.5
oldboy,36. Oldboy,0,1.0,4,0.0,6,0.0,2,0.0,6,0.0,2,3,2,4,10,7.5
