film_id,film_title,director,gt_nota_global
one-battle-after-another,One Battle After Another (2025),Paul Thomas Anderson,
sinners-2025,Sinners (2025),Ryan Coogler,
marty-supreme,Marty Supreme (2025),Josh Safdie,
it-was-just-an-accident,It Was Just an Accident (2025),Jafar Panahi,
sentimental-value-2025,Sentimental Value (2025),Joachim Trier,
the-secret-agent-2025,The Secret Agent (2025),Kleber Mendonça Filho,
weapons-2025,Weapons (2025),Zach Cregger,
train-dreams,Train Dreams (2025),Clint Bentley,
hamnet,Hamnet (2025),Chloé Zhao,
sorry-baby-2025,"Sorry, Baby (2025)",Eva Victor,
