film_id,film_title,director,gt_nota_global
one-battle-after-another,One Battle After Another (2025),Paul Thomas Anderson,5
sinners-2025,Sinners (2025),Ryan Coogler,6
marty-supreme,Marty Supreme (2025),Josh Safdie,8
it-was-just-an-accident,It Was Just an Accident (2025),Jafar Panahi,8
sentimental-value-2025,Sentimental Value (2025),Joachim Trier,9
the-secret-agent-2025,The Secret Agent (2025),Kleber Mendonça Filho,4
weapons-2025,Weapons (2025),Zach Cregger,4
train-dreams,Train Dreams (2025),Clint Bentley,6
hamnet,Hamnet (2025),Chloé Zhao,7
sorry-baby-2025,"Sorry, Baby (2025)",Eva Victor,3
